arm,auc_mse_0_100s,final_curve_mse,final_curve_psnr,refinement_seconds,seed,skipped_nonfinite,stage,steps
temporal,0.001148242601625969,0.0007337930080886449,31.344264307144208,100.00053324770927,0,0,F1,23746
temporal,0.0011935409868475493,0.0007720354429517513,31.123627614193992,100.0025400505066,1,0,F1,23410
temporal,0.0011907747142007985,0.0007709927059852728,31.1294973059409,100.00026278662682,2,0,F1,23962
randomdrop_combined,0.0011364648086524113,0.0007292475234980004,31.371250370543326,100.00073540902137,0,0,F1,23991
randomdrop_combined,0.0011937816926922715,0.0007920517192331083,31.012464590112742,100.0017757794857,1,0,F1,23502
randomdrop_combined,0.0011921252043187276,0.0007772892995196725,31.094173109276625,100.00037026786804,2,0,F1,24033
randomdrop_sharp,0.0011576301233293714,0.0007474481601328139,31.26418922801491,100.00239213943482,0,0,F1,23819
randomdrop_sharp,0.0011968848400967125,0.0007999579301535812,30.969328519862746,100.00083202266693,1,0,F1,23390
randomdrop_sharp,0.0011835804411497765,0.0007783354261435659,31.088332020727172,100.00113257241249,2,0,F1,23938
randomdrop_exposure,0.001149394972755738,0.0007296645029958698,31.368767809612525,100.00340552592277,0,0,F1,23756
randomdrop_exposure,0.0011752613035165825,0.0007591636754260699,31.196645802691528,100.00295230460166,1,0,F1,23341
randomdrop_exposure,0.0011841610424255967,0.0007496831977116545,31.2512222267781,100.00165416359901,2,0,F1,24081
sharp,0.0011691000422634013,0.0007383878048952488,31.317154846669162,100.0033607442379,0,0,F1,23910
sharp,0.0012254987425315146,0.0008088814655850236,30.921151157351193,100.00159600138664,1,0,F1,23469
sharp,0.0011956429782433637,0.0007922477677986476,31.011389757843588,100.00178426718712,2,0,F1,23923
exposure,0.0012114471465642575,0.0007944635125891035,30.99926043887807,100.00213692736625,0,0,F1,23886
exposure,0.0012420156894597893,0.0008312996663247055,30.80242393819492,100.00261232066154,1,0,F1,23425
exposure,0.00124569731127568,0.0008003973895439788,30.9669433646323,100.00565849757194,2,0,F1,24036
combined,0.0011590824562393493,0.0007530407829401684,31.23181502781707,100.00572075986862,0,0,F1,23889
combined,0.0012156379180336178,0.0007933641259554743,31.005274411845537,100.00212780404091,1,0,F1,23460
combined,0.0012127887389587863,0.0007781324595505853,31.089464678492256,100.00220106720924,2,0,F1,24002
worst,0.0011568254939313695,0.000739285015433486,31.311880964272664,100.0052719976902,0,0,F1,23847
worst,0.0011963313720707415,0.0007617314519349395,31.181981119925588,100.00109424614907,1,0,F1,23366
worst,0.0012041150195682597,0.0007994793464134882,30.971927512479702,100.00145004224777,2,0,F1,23971
