dataset,sequence,frames,elapsed_seconds,fixed_eval_views,heldout_mean_psnr,heldout_mean_ssim,heldout_mean_lpips,ate_rmse_cm_sim3,scale_error_percent,recall_at_10cm_percent,associated_pose_pairs
utmm,fast-straight,332,47.582873599021696,68,16.65636108903324,0.6210993887747035,0.5287905799991944,1.1287,0.23737312846650038,100.0,18
utmm,slow-straight-2,597,61.49032178198104,121,18.44371223843787,0.6611358902671121,0.48056414033755784,1.0704,23.919330950644024,100.0,16
utmm,square-2,1219,95.96546032000333,245,16.58784755784638,0.5791209191692118,0.4897339151221879,179.303,14.005170695319347,1.36986301369863,73
utmm,ego-centric-2,1298,101.73048285601544,261,17.436196831451067,0.5833519111419546,0.3487239099211163,6.2133,7.688680768517031,100.0,65
utmm,ego-drive,1399,105.83548637700733,281,21.252923171291147,0.7144455303076748,0.3255239569737818,6.2973,0.8226995566023132,96.55172413793103,87
utmm,ego-centric-1,1535,113.04102616300224,308,19.376354328997724,0.7099899641879193,0.2735730489449842,4.1216,25.461046761561335,100.0,56
utmm,square-1,1614,118.04546772700269,324,17.357749023555236,0.6244107295333603,0.3617568022031107,2.7363,1.4053843127344257,100.0,80
rpng,table_01,2506,170.5824045210029,502,20.419451060048136,0.6068429590696358,0.34008818250372114,2.244,3.5323665616090016,100.0,244
rpng,table_06,2767,182.7748917429999,555,22.624509306211728,0.7526036335541322,0.27592173103276674,1.9787,2.0510232636063774,100.0,224
rpng,table_02,2914,199.20558149300632,584,16.79560226936863,0.4125883137067295,0.44229600532618285,4.1211,2.7322127856613365,97.57575757575758,330
rpng,table_07,4784,298.023307948024,958,21.206949786502783,0.7282230441841552,0.20857472536552674,4.3697,0.9561982770028177,100.0,218
rpng,table_04,6068,377.63780458801193,1215,18.462663401693963,0.584229024545646,0.30346899724300996,3.8173,3.2546326764848477,100.0,413
rpng,table_05,6164,378.58881318199565,1234,20.95431102075685,0.6703234315160028,0.3094420093602261,3.2553,4.460627286687724,99.6987951807229,332
rpng,table_03,7006,432.2054843700025,1402,18.17336071574909,0.4865275328492642,0.38065074739204496,3.6397,3.646715513534904,100.0,506
rpng,table_08,8484,513.3875360150123,1698,19.527117334911765,0.6772539492069061,0.37882595480330844,16.1908,5.511713422609321,61.56583629893238,562
