uid,left_uid,right_uid,interval_frames,alpha_uid,beta_time,endpoint_fraction,endpoint_rotation_deg,endpoint_rotation_deg_per_second,gyro_endpoint_disagreement_deg,gyro_curvature_deg,original_translation_error_m,final_endpoint_linear_translation_error_m,causal_accel_shape_norm_m,causal_accel_plus_025_translation_error_m,causal_accel_plus_050_translation_error_m,causal_accel_plus_100_translation_error_m,causal_accel_minus_100_translation_error_m,original_rotation_error_deg,final_endpoint_slerp_rotation_error_deg,final_endpoint_imu_right_rotation_error_deg,final_endpoint_imu_left_rotation_error_deg,final_endpoint_imu_shape_right_rotation_error_deg,final_endpoint_imu_shape_left_rotation_error_deg,imu_right_improvement_deg,imu_left_improvement_deg,imu_shape_right_improvement_deg,imu_shape_left_improvement_deg
1,0,21,21,0.047619047619047616,0.04762774376662986,0.047619047619047616,2.4639110977265393,3.527583905911505,0.03841163455059464,0.0936930676333573,0.009296234396317046,0.005296503880027169,0.005200751418366636,0.008014161933226797,0.0067390344966582645,0.004234749768386955,0.014456917822723073,0.10560881601541616,0.18544026367252064,0.09262782905676743,0.09264037489084351,0.09263388741968649,0.09263420450562576,0.09281243461575321,0.09279988878167714,0.09280637625283415,0.09280605916689488
2,0,21,21,0.09523809523809523,0.09525617022148113,0.09523809523809523,2.4639110977265393,3.527583905911505,0.03841163455059464,0.16208793537008603,0.017197666877455702,0.009172341313838544,0.008747906906973133,0.01503356350954421,0.012877191152176587,0.008610882390207587,0.02589254616726643,0.13918113972511945,0.24294173609779499,0.08403191302239825,0.0840472105037812,0.08403887887200527,0.08404002229470674,0.15890982307539675,0.1588945255940138,0.15890285722578973,0.15890171380308826
3,0,21,21,0.14285714285714285,0.14288186592344676,0.14285714285714285,2.4639110977265393,3.527583905911505,0.03841163455059464,0.1494362648117999,0.02272570450891775,0.010696995287725278,0.010809896703303441,0.020073180865804046,0.01743600493398445,0.012247359881103387,0.03341594230705172,0.1866263135942662,0.22235894554930563,0.07952462222557517,0.07952694232105247,0.07952533226423412,0.07952609028931802,0.14283432332373047,0.14283200322825318,0.1428336132850715,0.14283285525998762
4,0,21,21,0.19047619047619047,0.1905085856577445,0.19047619047619047,2.4639110977265393,3.527583905911505,0.03841163455059464,0.1954457448297232,0.026676586775443642,0.010649001511797405,0.011571327552486622,0.02384788563215505,0.021036633973304453,0.015504433770030671,0.038087850295076435,0.2458907872687802,0.28129863079399536,0.09304593187802614,0.09304691878734561,0.0930479043936008,0.09304477686817159,0.18825269891596924,0.18825171200664975,0.18825072640039456,0.18825385392582378
6,0,21,21,0.2857142857142857,0.2857569049646794,0.2857142857142857,2.4639110977265393,3.527583905911505,0.03841163455059464,0.3235316285849521,0.03347008752546274,0.009410782790343101,0.010492117612283667,0.03093828742282242,0.028423037572556473,0.023463453214196205,0.04370502196738362,0.3690354227376269,0.4104919193409867,0.09521727202712622,0.09522475888742543,0.09522630525861689,0.09521551967394341,0.3152746473138605,0.3152671604535613,0.31526561408236986,0.3152763996670433
7,0,21,21,0.3333333333333333,0.3333788458814273,0.3333333333333333,2.4639110977265393,3.527583905911505,0.03841163455059464,0.3968396861893385,0.03705892313282769,0.009015091608225107,0.00892260692435403,0.03492420129532055,0.032802248440589016,0.02860800026067329,0.045689558076961526,0.3743001213053104,0.49158159375260385,0.10133180391659594,0.10135704656601602,0.10135119460868634,0.10133754991025049,0.3902497898360079,0.39022454718658783,0.3902303991439175,0.39024404384235334
8,0,21,21,0.38095238095238093,0.38100146948639657,0.38095238095238093,2.4639110977265393,3.527583905911505,0.03841163455059464,0.5168713590134214,0.03876402105594318,0.006693301177649372,0.006635738886687576,0.03724038655169354,0.035728806045473245,0.03274847095255949,0.044954447702815516,0.34264070643037603,0.6197718509562811,0.10525020439786413,0.10527798958762669,0.10527031882288271,0.10525780018828791,0.5145216465584169,0.5144938613686544,0.5145015321333983,0.5145140507679932
9,0,21,21,0.42857142857142855,0.42862136233848025,0.42857142857142855,2.4639110977265393,3.527583905911505,0.03841163455059464,0.6391385630306692,0.039011555866569556,0.002945014472052117,0.0037598672261719562,0.038298405244768303,0.037595229386842684,0.03622111752758856,0.041953627142720995,0.3322024604772824,0.7414573773542892,0.1049479736059535,0.10497577772695543,0.10496788568004022,0.104955928301794,0.6365094037483356,0.6364815996273337,0.636489491674249,0.6365014490524952
11,0,21,21,0.5238095238095238,0.5238608066985369,0.47619047619047616,2.4639110977265393,3.527583905911505,0.03841163455059464,0.7774557699308685,0.038300513808366306,0.005834475891812978,0.006375220969819093,0.03982142849139312,0.04134783436296472,0.044414853103848996,0.03228724863721394,0.44980478288100817,0.8696475084624274,0.09244260827411248,0.09239050489945447,0.09241238096255434,0.09242073796193533,0.777204900188315,0.777257003562973,0.7772351274998731,0.7772267705004922
12,0,21,21,0.5714285714285714,0.5714793341741776,0.4285714285714286,2.4639110977265393,3.527583905911505,0.03841163455059464,0.8635844238625897,0.037358799900849185,0.010782507997398272,0.011124315087955042,0.04011359844191842,0.042871790587276436,0.04839603412858259,0.026394781928264825,0.530633462212281,0.9653190393655516,0.10190050203271644,0.10184168147532735,0.10187052336078006,0.10187172648598758,0.8634185373328351,0.8634773578902243,0.8634485160047716,0.8634473128795641
