uid,left_uid,right_uid,interval_frames,alpha_uid,beta_time,endpoint_fraction,endpoint_rotation_deg,endpoint_rotation_deg_per_second,gyro_endpoint_disagreement_deg,gyro_curvature_deg,original_translation_error_m,final_endpoint_linear_translation_error_m,causal_accel_shape_norm_m,causal_accel_plus_025_translation_error_m,causal_accel_plus_050_translation_error_m,causal_accel_plus_100_translation_error_m,causal_accel_minus_100_translation_error_m,original_rotation_error_deg,final_endpoint_slerp_rotation_error_deg,final_endpoint_imu_right_rotation_error_deg,final_endpoint_imu_left_rotation_error_deg,final_endpoint_imu_shape_right_rotation_error_deg,final_endpoint_imu_shape_left_rotation_error_deg,imu_right_improvement_deg,imu_left_improvement_deg,imu_shape_right_improvement_deg,imu_shape_left_improvement_deg
1,0,90,90,0.011111111111111112,0.011167323637287474,0.011111111111111112,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.00809005481015172,0.00018982739216209132,0.00018790507017695432,0.00042858027658397634,0.00011515492544244268,0.00011596122876568859,0.00028757625263055905,0.0005972695233365594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,90,90,0.022222222222222223,0.02233575807210615,0.022222222222222223,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.021340851314082098,0.0005549004901182056,0.000554884987967975,0.0008340880107575833,0.0005598410480044644,0.0006370967707807363,0.0009228875563089095,0.0010749480385842394,0.0,0.0,0.010876364678906951,0.010876413267997298,0.010876902095679089,0.01087587810583846,-0.010876364678906951,-0.010876413267997298,-0.010876902095679089,-0.01087587810583846
3,0,90,90,0.03333333333333333,0.03350466856300963,0.03333333333333333,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.0225768183794473,0.000397342990527427,0.0003949103103532881,0.0012300168624197502,0.00031720545551571633,0.00048215644258497986,0.0010312802524287906,0.0015093398917628929,0.019782341029446364,0.01936030958606502,0.00753534855360575,0.0075347754756402464,0.007534629393765659,0.007535496459461663,0.01182496103245927,0.011825534110424772,0.011825680192299359,0.011824813126603356
4,0,90,90,0.044444444444444446,0.04467476919412512,0.044444444444444446,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.014906950006987555,0.0001954236676942462,0.00018828212075203653,0.0016195573874166437,0.0003433939642575215,0.0007249270210675685,0.0015245756876654695,0.001731468178928262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,90,90,0.06666666666666667,0.0670170333660569,0.06666666666666667,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.00751629637193427,0.0005052944664609719,0.0005004262020190856,0.002305131412112356,0.0005683242362365064,0.0010270668091900967,0.002123964542264613,0.0025742341138849513,0.0,0.004664381643182676,0.0038799322296168472,0.003877556052302945,0.003878091025894228,0.0038794074684892293,0.0007844494135658287,0.0007868255908797311,0.000786290617288448,0.0007849741746934467
7,0,90,90,0.07777777777777778,0.07818927624955399,0.07777777777777778,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.009793634121560264,0.00034616033314176144,0.000329795458268909,0.002585626731930537,0.00039871708380997945,0.0010167629267495333,0.002300112936492605,0.00288445239614187,0.0,0.0,0.00047614857509509716,0.0004645893845036323,0.0004642739132871554,0.00047648525110256036,-0.00047614857509509716,-0.0004645893845036323,-0.0004642739132871554,-0.00047648525110256036
8,0,90,90,0.08888888888888889,0.08936262993058229,0.08888888888888889,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.023122732131388178,0.000699584932587456,0.0006894503932438306,0.002838853706094252,0.0006631039737084699,0.0011821086995569253,0.002516920352243088,0.003280568674099273,0.019782341029446364,0.018860720757764852,0.016215642430590056,0.016215431648167185,0.016216679400655968,0.01621439909387223,0.0026450783271747963,0.0026452891095976663,0.002644041357108884,0.0026463216638926215
9,0,90,90,0.1,0.1005365390103762,0.1,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.0250180489538023,0.0005424084047390023,0.0005355207235207111,0.0030778441443135122,0.0007128327575041446,0.0013806501276196073,0.0028731071961559415,0.00335855890938806,0.019782341029446364,0.01865026709150544,0.016803611359521773,0.016804500482183377,0.01680662820806096,0.0168014885011563,0.0018466557319836673,0.0018457666093220637,0.001843638883444479,0.00184877859034914
11,0,90,90,0.12222222222222222,0.12288705482111122,0.12222222222222222,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.014678260758363926,0.0004231372959656161,0.0004090880840872921,0.0035004622813527724,0.0007648209304462151,0.0015882416261251992,0.0033155083842848704,0.003724508942472528,0.0,0.0036863183739158276,0.008991707339446658,0.008980247397609626,0.008983771526720493,0.008988191917648514,-0.00530538896553083,-0.005293929023693798,-0.005297453152804665,-0.005301873543732686
12,0,90,90,0.13333333333333333,0.13406374089473314,0.13333333333333333,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.016555069231807478,0.00015466721994846394,0.00013907657365784266,0.0036771220390011223,0.0008168464530068504,0.0017322550672076644,0.0035690484070211993,0.003788428479674409,0.0,0.0,0.00493882160211609,0.004934086950024731,0.004934425247912795,0.004938484638601783,-0.00493882160211609,-0.004934086950024731,-0.004934425247912795,-0.004938484638601783
13,0,90,90,0.14444444444444443,0.14524082368175906,0.14444444444444443,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.017692651041521384,0.0003938052495660411,0.0003653857472548478,0.0038307495675587505,0.000706660867547765,0.0016364555814411498,0.0035409338161210787,0.004137781695271618,0.019782341029446364,0.018037437247182198,0.0074528688645548215,0.007460054377393487,0.007460777110718378,0.007452143310153306,0.010584568382627377,0.010577382869788711,0.010576660136463821,0.010585293937028891
14,0,90,90,0.15555555555555556,0.15641909660899697,0.15555555555555556,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.022554599795967172,0.00035552963051520254,0.0003271052809258131,0.003951081767555677,0.00073144372818567,0.0017014697847945728,0.0036700301232985744,0.004243321316875661,0.019782341029446364,0.017574356774489607,0.0,0.0,0.0,0.0,0.017574356774489607,0.017574356774489607,0.017574356774489607,0.017574356774489607
16,0,90,90,0.17777777777777778,0.17869764860824608,0.17777777777777778,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.016453530816732575,0.0005372155887584805,0.0005238072243191681,0.0041487738440045135,0.001060062186382749,0.002027413041360597,0.004066739344499587,0.0042969153004104345,0.0,0.0,0.004060124323368195,0.004048011243359826,0.004052368057582778,0.004055794712339199,-0.004060124323368195,-0.004048011243359826,-0.004052368057582778,-0.004055794712339199
17,0,90,90,0.18888888888888888,0.18979705491076845,0.18888888888888888,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.011846654565532567,0.00037406761955116206,0.0003594046121411309,0.004228747329627947,0.0010222212735206031,0.002045784465017987,0.004143874221008517,0.004344279867150066,0.0,0.0034888492460286263,0.007726757730124573,0.00772069958893982,0.007721098942879077,0.007726359423417861,-0.004237908484095946,-0.004231850342911193,-0.004232249696850451,-0.004237510177389235
18,0,90,90,0.2,0.20089685792669482,0.2,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.012258252922134968,0.00048434927984697927,0.00047685063365056297,0.004274610022377983,0.0011710601879181201,0.0021891107916211425,0.004299530592146444,0.00430439389737998,0.0,0.0,0.011732664701066578,0.01173142797388634,0.011733483957154973,0.011730601863185182,-0.011732664701066578,-0.01173142797388634,-0.011733483957154973,-0.011730601863185182
19,0,90,90,0.2111111111111111,0.2119962642292172,0.2111111111111111,0.013527885390035273,0.004501908770910189,0.3564924387011405,0.01332413910018829,0.0004005833585794492,0.00036482326606988624,0.004286520518793899,0.0008588904399185922,0.0019004475310177478,0.004031136773684648,0.0045628266110242606,0.0,0.0,0.004611797582521341,0.004607592282646603,0.0046149917678432045,0.0046043939139855375,-0.004611797582521341,-0.004607592282646603,-0.0046149917678432045,-0.0046043939139855375
