path,allocated_bytes,size_bytes,reason
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria305_zerotail_normalized_odds150_K8_r4_s0/point_cloud/iteration_10000/point_cloud.ply,98738176,98737275,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria305_zerotail_normalized_odds150_K8_r4_s0/point_cloud/iteration_15000/point_cloud.ply,168767488,168766467,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria305_zerotail_normalized_odds125_K8_r4_s1/point_cloud/iteration_10000/point_cloud.ply,95510528,95507755,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria305_zerotail_normalized_odds125_K8_r4_s1/point_cloud/iteration_15000/point_cloud.ply,171311104,171303655,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria305_zerotail_normalized_odds125_K8_r4_s0/point_cloud/iteration_10000/point_cloud.ply,94601216,94598759,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria305_zerotail_normalized_odds125_K8_r4_s0/point_cloud/iteration_15000/point_cloud.ply,166252544,166245339,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria12F_zerotail_normalized_odds125_K8_r4_s1/point_cloud/iteration_12000/point_cloud.ply,82235392,82232267,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria12F_zerotail_normalized_odds125_K8_r4_s1/point_cloud/iteration_18000/point_cloud.ply,86970368,86967047,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria305_zerotail_normalized_odds140_K8_r4_s0/point_cloud/iteration_10000/point_cloud.ply,95580160,95578419,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria305_zerotail_normalized_odds140_K8_r4_s0/point_cloud/iteration_15000/point_cloud.ply,168300544,168294011,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp76/evidence/zero_tail_runs/aria12F_zerotail_normalized_odds150_K8_r4_s0/point_cloud/iteration_12000/point_cloud.ply,82018304,82015019,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
