scenario,kappa,algorithm,sampler,admission,beta,seeds,steps_mean,steps_q05,steps_p95,steps_worst,batch_size_mean,batch_size_q05,batch_size_p95,batch_size_worst,initial_views_mean,initial_views_q05,initial_views_p95,initial_views_worst,final_views_mean,final_views_q05,final_views_p95,final_views_worst,target_final_views_mean,target_final_views_q05,target_final_views_p95,target_final_views_worst,mean_count_mean,mean_count_q05,mean_count_p95,mean_count_worst,count_std_mean,count_std_q05,count_std_p95,count_std_worst,count_min_mean,count_min_q05,count_min_p95,count_min_worst,count_max_mean,count_max_q05,count_max_p95,count_max_worst,jain_index_mean,jain_index_q05,jain_index_p95,jain_index_worst,oracle_jain_index_mean,oracle_jain_index_q05,oracle_jain_index_p95,oracle_jain_index_worst,jain_regret_mean,jain_regret_q05,jain_regret_p95,jain_regret_worst,fairness_rmse_updates_mean,fairness_rmse_updates_q05,fairness_rmse_updates_p95,fairness_rmse_updates_worst,fairness_nrmse_mean,fairness_nrmse_q05,fairness_nrmse_p95,fairness_nrmse_worst,cohort_mid_first_ratio_mean,cohort_mid_first_ratio_q05,cohort_mid_first_ratio_p95,cohort_mid_first_ratio_worst,oracle_cohort_mid_first_ratio_mean,oracle_cohort_mid_first_ratio_q05,oracle_cohort_mid_first_ratio_p95,oracle_cohort_mid_first_ratio_worst,first_cohort_mean_count_mean,first_cohort_mean_count_q05,first_cohort_mean_count_p95,first_cohort_mean_count_worst,middle_cohort_mean_count_mean,middle_cohort_mean_count_q05,middle_cohort_mean_count_p95,middle_cohort_mean_count_worst,oracle_first_cohort_mean_count_mean,oracle_first_cohort_mean_count_q05,oracle_first_cohort_mean_count_p95,oracle_first_cohort_mean_count_worst,oracle_middle_cohort_mean_count_mean,oracle_middle_cohort_mean_count_q05,oracle_middle_cohort_mean_count_p95,oracle_middle_cohort_mean_count_worst,middle_cohort_arrival_fraction_mean,middle_cohort_arrival_fraction_q05,middle_cohort_arrival_fraction_p95,middle_cohort_arrival_fraction_worst,admission_tracking_rmse_mean,admission_tracking_rmse_q05,admission_tracking_rmse_p95,admission_tracking_rmse_worst,admission_tracking_nrmse_mean,admission_tracking_nrmse_q05,admission_tracking_nrmse_p95,admission_tracking_nrmse_worst,admission_max_lag_mean,admission_max_lag_q05,admission_max_lag_p95,admission_max_lag_worst,admission_max_overshoot_mean,admission_max_overshoot_q05,admission_max_overshoot_p95,admission_max_overshoot_worst,admission_rate_ratio_mean,admission_rate_ratio_q05,admission_rate_ratio_p95,admission_rate_ratio_worst,admission_pool_rate_cv_mean,admission_pool_rate_cv_q05,admission_pool_rate_cv_p95,admission_pool_rate_cv_worst,budget_violation_mean,budget_violation_q05,budget_violation_p95,budget_violation_worst,entropy_ratio_mean,entropy_ratio_q05,entropy_ratio_p95,entropy_ratio_worst,shuffle_kl_norm_mean,shuffle_kl_norm_q05,shuffle_kl_norm_p95,shuffle_kl_norm_worst,duplicate_rate_mean,duplicate_rate_q05,duplicate_rate_p95,duplicate_rate_worst,temporal_w1_mean,temporal_w1_q05,temporal_w1_p95,temporal_w1_worst,cohort_entropy_mean,cohort_entropy_q05,cohort_entropy_p95,cohort_entropy_worst,gradient_ratio_iid_mean,gradient_ratio_iid_q05,gradient_ratio_iid_p95,gradient_ratio_iid_worst,gradient_ratio_smooth_order_mean,gradient_ratio_smooth_order_q05,gradient_ratio_smooth_order_p95,gradient_ratio_smooth_order_worst,gradient_ratio_abrupt_regime_mean,gradient_ratio_abrupt_regime_q05,gradient_ratio_abrupt_regime_p95,gradient_ratio_abrupt_regime_worst,gradient_ratio_mean_mean,gradient_ratio_mean_q05,gradient_ratio_mean_p95,gradient_ratio_mean_worst,gradient_ratio_worst_mean,gradient_ratio_worst_q05,gradient_ratio_worst_p95,gradient_ratio_worst_worst,temporal_w1_to_uniform,temporal_w1_to_uniform_p95,cohort_entropy_to_uniform
base_stream,16,ercb_beta_0,softmax,token,0.0,8,12000.0,12000.0,12000.0,12000.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,15.66579634464752,15.66579634464752,15.66579634464752,15.66579634464752,15.16302829305457,14.91655013261675,15.526289814576032,15.680742869860842,0.0,0.0,0.0,0.0,74.5,68.7,81.3,82.0,0.5163543745383139,0.5045175150900132,0.5244880244866557,0.5259125821385975,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.4755702568239183,0.4674366068755766,0.487407116272219,0.49240144705511935,14.89375146175868,14.64323451189701,15.263021834773163,15.419800095557179,0.9507178016422624,0.9347264696760924,0.9742895604530203,0.9842972394330666,0.17321000179548646,0.1449527368861501,0.20006938908081612,0.20649895178197064,1.0,1.0,1.0,1.0,61.859375,59.1375,64.271875,64.6875,10.6875,9.26875,12.09375,12.3125,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999993,0.9999999999999993,0.9999999999999993,0.9999999999999993,6.408027025779813e-16,6.408027025779813e-16,6.408027025779813e-16,6.408027025779813e-16,0.0,0.0,0.0,0.0,0.07390341748740771,0.07193495241342657,0.07511410064361188,0.07520380601326147,0.8870039232753223,0.8845431978397412,0.8894096151179465,0.8894859006218466,1.0072052273961818,0.9883928592973624,1.0295030649597077,1.0341290598955126,1.0182798648683353,0.9457151832485342,1.0740476302392545,1.0745927646056461,1.0035553026379551,0.8933063897699622,1.1279298951665993,1.1510334480571773,1.0096801316341573,0.951263713519169,1.0656011171155033,1.0712953437202029,1.048771469790284,1.0060936851344306,1.1279298951665993,1.1510334480571773,1.0,1.016381964425535,1.0
base_stream,16,ercb_beta_0p005,softmax,token,0.005,8,12000.0,12000.0,12000.0,12000.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,15.66579634464752,15.66579634464752,15.66579634464752,15.66579634464752,14.307584181442682,14.128773491551481,14.519289752695297,14.539064325728216,0.0,0.0,0.0,0.0,66.75,63.7,69.95,71.0,0.545243976063172,0.5379285603559775,0.5514508211095311,0.5519656239489176,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.44668065529906015,0.440473810252701,0.4539960710062548,0.45467346353116067,14.023905517027654,13.842106202970564,14.239628708581005,14.259438722800244,0.8951926355035985,0.8835877792896211,0.9089629658977542,0.910227505138749,0.20564174833562449,0.1826677131526768,0.22410941475826973,0.2257360959651036,1.0,1.0,1.0,1.0,56.5859375,55.16875,58.734375,59.5,11.6328125,10.396875,12.71875,12.9375,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996278257406664,0.9994803881876498,0.9998118785520994,0.9998244377134929,0.0003721742593335519,0.00018812144790056996,0.000519611812350164,0.0005282562234935588,0.0,0.0,0.0,0.0,0.07484544993965919,0.07344782215609715,0.07627837123726205,0.07660380495375468,0.8861619850336593,0.8831711718725566,0.8894773846084431,0.8896043025726182,1.0096953819337333,0.9986344520531637,1.0298123697585697,1.0317808768479615,1.0234339668016654,0.9603702048192346,1.0686867935391078,1.069205274980327,1.0639376789986246,0.965618104943174,1.135886117113377,1.1485042115293285,1.032355675911341,0.9777870303760567,1.0684756643514142,1.072480117223211,1.0723054512154961,1.0004662755178222,1.135886117113377,1.1485042115293285,1.0127468050095518,1.03213591239213,0.9990508066316617
base_stream,16,ercb_beta_0p01,softmax,token,0.01,8,12000.0,12000.0,12000.0,12000.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,15.66579634464752,15.66579634464752,15.66579634464752,15.66579634464752,13.649901530975766,13.50187119084109,13.76890742931017,13.771562436326416,0.0,0.0,0.0,0.0,64.0,62.0,66.65,67.0,0.5684507086077549,0.5641774436485933,0.5737839846859122,0.5746104540156811,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.4234739227544772,0.41814064667632006,0.42774718771363884,0.42784201826707624,13.35330120055001,13.202418265603718,13.475085024005455,13.478442317668053,0.8523857266351091,0.8427543659543707,0.8601595940323482,0.8603739012778107,0.2157973307556809,0.20029430520422095,0.22956171991297378,0.2312206572769953,1.0,1.0,1.0,1.0,53.0625,51.653125,54.70625,55.1875,11.4453125,10.834375,12.26875,12.3125,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987773103843233,0.9985247543966194,0.9989967417046871,0.9990095464469055,0.0012226896156766695,0.001003258295312895,0.0014752456033805446,0.0015121504274989211,0.0,0.0,0.0,0.0,0.07716231048778341,0.07574138333085469,0.07832696767883016,0.07839528744603146,0.8843318497246457,0.8825845615189211,0.8863746645299745,0.8869817558107465,1.0009655007639267,0.9780308635504701,1.023067227133181,1.023227397445466,1.098316347203093,1.0633572925044557,1.1313276064828417,1.1328259002590664,1.1373135062127349,1.059895367701699,1.1946216434758699,1.209835146055571,1.0788651180599182,1.0485055315588563,1.1149240329461314,1.1203833249785966,1.1418358652598553,1.0798609347508572,1.1946216434758699,1.209835146055571,1.0440966481818108,1.0598558272650405,0.9969875290508189
base_stream,16,ercb_beta_0p02,softmax,token,0.02,8,12000.0,12000.0,12000.0,12000.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,15.66579634464752,15.66579634464752,15.66579634464752,15.66579634464752,12.54050736971168,12.485104435158666,12.609652373195992,12.634676260560745,0.0,0.0,0.0,0.0,55.125,52.0,58.65,59.0,0.6094589241900374,0.6068376205621322,0.6115634579997207,0.6122201905014956,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.3824657071721948,0.3803611733625116,0.38508701080009994,0.38603441917358927,12.220408498608982,12.162634957290422,12.290669506255984,12.31600881402127,0.7800694091612066,0.7763815314403719,0.7845544034826736,0.786171895961691,0.2653906377725572,0.24853871291237292,0.2871520525385604,0.29296875,1.0,1.0,1.0,1.0,47.75,46.690625,49.1125,49.375,12.671875,11.815625,13.84375,14.0625,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959654554550489,0.995797085600314,0.9961930777646105,0.996276406171349,0.004034544544951148,0.003806922235389568,0.004202914399685969,0.00424052014285925,0.0,0.0,0.0,0.0,0.0867392148036672,0.08504140173840859,0.0881484902841222,0.08838301122656683,0.8773427297362183,0.8744636645747828,0.8802912774541981,0.8810291965149064,0.9959897422165583,0.9817271932125112,1.0099039630096756,1.0102465469368629,1.3658023540078288,1.27633868978043,1.4304988048460785,1.444410414740927,1.5058649085395777,1.3940448437877793,1.591477737477353,1.623198199831198,1.289219001587988,1.2284955528572559,1.3340592615848317,1.3502767176128956,1.5058649085395777,1.3940448437877793,1.591477737477353,1.623198199831198,1.1736834067037096,1.1927525584204774,0.9891080599695328
base_stream,16,ercb_beta_0p03,softmax,token,0.03,8,12000.0,12000.0,12000.0,12000.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,15.66579634464752,15.66579634464752,15.66579634464752,15.66579634464752,11.638717820402036,11.548609579307557,11.751859188735859,11.775557941592794,0.0,0.0,0.0,0.0,49.125,47.7,50.65,51.0,0.6443519399505517,0.6399022539253271,0.647902009361107,0.6482800868183896,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.34757269141168046,0.3440226220011252,0.3520223774369051,0.3529520878526836,11.296372630011202,11.204192656012976,11.411763170373229,11.435367244688196,0.7210851195490486,0.7152009645421618,0.7284508823754912,0.7299576091192632,0.3176066614480375,0.2949655839662283,0.3339159879198316,0.336322869955157,1.0,1.0,1.0,1.0,42.8203125,41.85625,43.5,43.5,13.6015625,12.478125,14.125,14.125,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9920133819051828,0.9915780013659905,0.9925192259108795,0.9926018849017572,0.007986618094817167,0.0074807740891204766,0.008421998634009489,0.00845411569752777,0.0,0.0,0.0,0.0,0.09921960493945442,0.09784079327181548,0.1001399742489952,0.1001444489696099,0.8678691730557545,0.8659175750108982,0.8694173790569248,0.8696176313213676,1.012938115430724,0.980561469135103,1.028652749362601,1.0289465978182812,1.7393476368961043,1.6654772098889044,1.7999658781060632,1.8115693200043024,1.8697753299836701,1.7616233809846196,2.013568771760668,2.0631838163522307,1.540687027436833,1.482523443511301,1.6065842730240227,1.633871178011365,1.8697753299836701,1.7616233809846196,2.013568771760668,2.0631838163522307,1.3425577370134514,1.3550114142699545,0.9784276599939813
base_stream,16,ercb_beta_0p05,softmax,token,0.05,8,12000.0,12000.0,12000.0,12000.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,15.66579634464752,15.66579634464752,15.66579634464752,15.66579634464752,10.326942833670076,10.232467157737856,10.469527447762825,10.472670130682829,0.0,0.0,0.0,0.0,43.875,41.35,46.949999999999996,48.0,0.6970867599247059,0.6912611219375677,0.7009506123774066,0.7014954479960379,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.29483787143752627,0.2909740189848255,0.3006635094246645,0.3007916391939017,9.948171699724586,9.851317735878752,10.095618567220193,10.099375675453535,0.6350249601657528,0.628842448806927,0.6444369852075555,0.6446768139497839,0.3763097474417423,0.3290297418348347,0.405617342210205,0.41116751269035534,1.0,1.0,1.0,1.0,37.8125,36.9375,39.603125,40.0625,14.203125,13.01875,15.05625,15.1875,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830056634940076,0.9822644947290734,0.9840438441675825,0.9841870088470179,0.016994336505992344,0.015956155832417482,0.01773550527092657,0.017829032646817518,0.0,0.0,0.0,0.0,0.12544830329600012,0.12253811773008433,0.12814186971626074,0.1287606063530927,0.8483197421556394,0.8452291246293833,0.8511124766653704,0.851917100956953,1.0114505715769098,0.9937741570890535,1.0307164759647134,1.0342191387749708,2.6675414486920337,2.5376771041609163,2.7628324509031033,2.765255212020192,3.1208244883172664,2.948795089729916,3.2809601799046475,3.3351316980003647,2.26660550286207,2.1660037789712616,2.3478673453974612,2.3690155381948323,3.1208244883172664,2.948795089729916,3.2809601799046475,3.3351316980003647,1.6974628178375522,1.7339099337063084,0.956387812833072
base_stream,16,ercb_beta_0p075,softmax,token,0.075,8,12000.0,12000.0,12000.0,12000.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,15.66579634464752,15.66579634464752,15.66579634464752,15.66579634464752,9.046545735426957,8.945278264581935,9.141882201668148,9.1479316003274,0.0,0.0,0.0,0.0,38.5,37.0,40.3,41.0,0.7499214689197069,0.7459688492578311,0.7541199645928405,0.7550084587162947,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.2420031624425253,0.23780466676939177,0.24595578210440108,0.2462065755105184,8.62723329766543,8.522483967630931,8.726002904828698,8.732759964967784,0.5507050588343101,0.5440185599337745,0.5570098520915653,0.5574411777637769,0.454865386995943,0.4291298501728774,0.4725095785440613,0.4731800766283525,1.0,1.0,1.0,1.0,33.3359375,32.625,34.140625,34.25,15.15625,14.54375,15.478125,15.5,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9690883230866764,0.9675621599248281,0.9702474807693343,0.9702779739774949,0.03091167691332357,0.029752519230665637,0.032437840075171906,0.03270943644195631,0.0,0.0,0.0,0.0,0.15975970348081903,0.1572128152277756,0.16347120881452892,0.16447529109914497,0.8156959441344818,0.8122238467059135,0.8185291653419806,0.8190484144327829,1.0256897614354548,1.0121144927576635,1.03749933982451,1.038555297268775,4.078686569664421,3.942933411561432,4.194451552671577,4.214732917291344,4.999297749792668,4.759134866362041,5.223318792666716,5.274060080352997,3.3678913602975147,3.2428788453744564,3.4782993012995123,3.4986690309893635,4.999297749792668,4.759134866362041,5.223318792666716,5.274060080352997,2.161736343357061,2.211957367768311,0.9196080453877464
base_stream,16,ercb_beta_0p1,softmax,token,0.1,8,12000.0,12000.0,12000.0,12000.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,15.66579634464752,15.66579634464752,15.66579634464752,15.66579634464752,8.061921942446723,7.978975489126078,8.111545992470777,8.113461388176312,0.0,0.0,0.0,0.0,34.875,34.0,37.0,37.0,0.790617009111123,0.7885792268972596,0.7940208702854381,0.7952517286508323,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.20130762225110918,0.19790376107679405,0.2033454044649726,0.20342414004976628,7.604771017962382,7.518717736525043,7.6571605204749895,7.659189603253733,0.48543788331326543,0.4799448155148486,0.48878207989032013,0.4889116030076966,0.5168816687242817,0.48425357873210634,0.5512254913056666,0.5588865096359743,1.0,1.0,1.0,1.0,30.203125,29.31875,30.85,30.9375,15.6015625,14.8,16.159375,16.3125,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9536712447852465,0.9526043390499067,0.9544583539613244,0.9545510497259253,0.046328755214753534,0.04554164603867558,0.04739566095009325,0.047858140754833814,0.0,0.0,0.0,0.0,0.19011845825705567,0.18828605280439026,0.19251012292079586,0.1933637944989154,0.7835703503217695,0.778138756619376,0.7880500187720995,0.7897105435074141,1.0179709208347825,1.006192578066638,1.0262622579886946,1.026617632950867,5.596838336830707,5.491291237264269,5.773531172556506,5.849646377158876,7.036594880373336,6.773165589543324,7.383781102195509,7.42483077240036,4.550468046012942,4.43278684198736,4.725686916823567,4.764705558378139,7.036594880373336,6.773165589543324,7.383781102195509,7.42483077240036,2.5725259361578194,2.6048879668331626,0.8833899487483468
base_stream,16,ercb_beta_0p15,softmax,token,0.15,8,12000.0,12000.0,12000.0,12000.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,15.66579634464752,15.66579634464752,15.66579634464752,15.66579634464752,6.626159243792676,6.594426539288792,6.657701688357878,6.658044846684093,0.0,0.0,0.0,0.0,29.625,28.35,31.0,31.0,0.848245174715613,0.8470191884050792,0.8494776033923902,0.8496011901213472,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.14367945664661924,0.14244702796984196,0.144905442957153,0.1449188005035087,6.1097930768910516,6.0749947042606225,6.144791286525668,6.148510189118329,0.39000845807487877,0.3877871619553031,0.3922425104565551,0.39247990040538666,0.6296310043762539,0.605633759006436,0.6699415466248384,0.6708229426433915,1.0,1.0,1.0,1.0,26.0859375,25.19375,26.603125,26.625,16.4140625,15.9,16.934375,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9192619138796346,0.9185104868224959,0.9202643793098545,0.9206771265976538,0.08073808612036538,0.07973562069014557,0.08148951317750411,0.08162971062361457,0.0,0.0,0.0,0.0,0.2396228672487407,0.2380798636788738,0.24081401258655602,0.24102839567723833,0.7100819644760308,0.7070284839636706,0.7128468472456715,0.7132771079667425,1.0256816694809376,0.9955574718098823,1.0521805878443777,1.0556543845076052,8.434933381233202,8.324340078149369,8.549841534276439,8.563620452165468,10.967896923195774,10.761553814976065,11.166957017935928,11.214142944590444,6.809503991303304,6.7147821268677115,6.905717761910426,6.917641507930791,10.967896923195774,10.761553814976065,11.166957017935928,11.214142944590444,3.2423787071764263,3.258496301982083,0.8005398238307727
base_stream,16,ercb_beta_0p2,softmax,token,0.2,8,12000.0,12000.0,12000.0,12000.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,766.0,15.66579634464752,15.66579634464752,15.66579634464752,15.66579634464752,5.592189296241597,5.549591087812855,5.6412602321108265,5.6414222259436,0.0,0.0,0.0,0.0,27.5,26.35,28.65,29.0,0.8869739526396343,0.8852124399549789,0.8885000828843987,0.8885706270243058,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.9919246313622322,0.10495067872259782,0.10342454847783344,0.1067121914072533,0.10671802709148404,5.033310761211196,4.989229999930008,5.0875354516116404,5.090050705836785,0.321293003590648,0.3184791816621988,0.32475434632787636,0.3249149033892481,0.6842004425895167,0.653265837585034,0.7159774462471229,0.7207446808510638,1.0,1.0,1.0,1.0,23.875,23.3375,24.434375,24.5,16.328125,15.796875,16.871875,16.9375,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.49933333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8820388737546747,0.8800413170685506,0.8837742112266456,0.8840425281564356,0.11796112624532526,0.1162257887733544,0.11995868293144943,0.12043115983512293,0.0,0.0,0.0,0.0,0.276209426013422,0.27424032288422334,0.2777566901812188,0.2778958495816356,0.6435421281945963,0.6397902880749223,0.6473005006408572,0.6486649628333262,1.0293939030452335,0.9986675712038603,1.056231481405861,1.0625613191765853,10.816647746109194,10.706610676471056,10.925273077085501,10.951483628343572,14.367401108521584,14.17530576577502,14.56639251825996,14.582777301053166,8.737814252558671,8.63886253385647,8.833475048359777,8.84205885483428,14.367401108521584,14.17530576577502,14.56639251825996,14.582777301053166,3.7374377992801877,3.7583740999331368,0.7255234292744425
