kappa,beta,algorithm,scenarios,fairness_nrmse_worst_scenario,fairness_rmse_updates_worst_scenario,jain_min_scenario,jain_regret_worst_scenario,cohort_ratio_min_scenario,cohort_ratio_max_scenario,oracle_cohort_ratio_min_scenario,oracle_cohort_ratio_max_scenario,entropy_ratio_min_scenario,shuffle_kl_worst_scenario,gradient_ratio_mean_worst_scenario,gradient_ratio_field_worst_scenario,temporal_w1_ratio_worst_scenario,admission_tracking_nrmse_worst_scenario,admission_pool_rate_cv_worst_scenario,budget_violation_worst_scenario,constraint_violation_factor,meets_all_quality_constraints
16,0.0,ercb_beta_0,3,1.0057208018082007,15.977912120518631,0.494390475822441,0.5026197489974564,0.11366259056486247,0.18665478615071282,1.0,1.0,0.9999999999999994,5.346378325371983e-16,1.0491111698499183,1.0892244658523458,1.0163017737979896,0.0,0.0,0.0,50.26197489974564,False
16,0.005,ercb_beta_0p005,3,0.9453510304337285,15.018816017482006,0.5249729662616045,0.4720372585582931,0.1434776126898041,0.22440840070991913,1.0,1.0,0.9994342642342048,0.0004251448460167193,1.0946742568290253,1.1510460407751153,1.0399486886231888,0.0,0.0,0.0,47.20372585582931,False
16,0.01,ercb_beta_0p01,3,0.89649248895983,14.242599118514509,0.5509949131796881,0.44601531164020947,0.1645454864277197,0.25127181470013465,1.0,1.0,0.9982205667748016,0.0014416053544636228,1.1117238588503446,1.21335946578722,1.0467397113361008,0.0,0.0,0.0,44.60153116402095,False
16,0.02,ercb_beta_0p02,3,0.816171076398129,12.96653078125889,0.5962122179687412,0.4007980068511563,0.19808575614488363,0.2998011539473965,1.0,1.0,0.9948931793759525,0.004726388550246548,1.1973475480922031,1.3539135418118164,1.1039004566906638,0.0,0.0,0.0,40.07980068511563,False
16,0.03,ercb_beta_0p03,3,0.7534761430767771,11.970494770857888,0.6334051820958585,0.3636050427240391,0.22408480944712827,0.3453239289446186,1.0,1.0,0.9904974977813802,0.009009001361776896,1.3716090380196146,1.6231173667982477,1.1927634831858533,0.0,0.0,0.0,36.36050427240391,False
16,0.05,ercb_beta_0p05,3,0.6638683742222058,10.546893853486058,0.6888101918222852,0.30820003299761234,0.3034751400560224,0.4276794793573317,1.0,1.0,0.9795710267141468,0.01933659604624727,1.8095007654219997,2.284410704374111,1.417302966881348,0.0,0.0,0.0,30.820003299761233,False
16,0.075,ercb_beta_0p075,3,0.5772144147340287,9.170220181123138,0.7440021763439747,0.2530080484759228,0.37234826999432785,0.49019014693171997,1.0,1.0,0.9634574013863055,0.03502378464460769,2.3709169250808353,3.1422747826207424,1.702399390044561,0.0,0.0,0.0,25.30080484759228,False
16,0.1,ercb_beta_0p1,3,0.5156905568239278,8.192789075755252,0.7832768146642752,0.21373341015562233,0.4533812043335853,0.5341371966497244,1.0,1.0,0.9460651049298494,0.05247350141904379,2.978853302087289,4.175791862913322,1.9713882552828583,0.0,0.0,0.0,21.373341015562232,False
16,0.15,ercb_beta_0p15,3,0.41750495092448087,6.632911841695194,0.8436813831109571,0.1529325761715656,0.5637031484257871,0.6793256398178678,1.0,1.0,0.9060684409317782,0.09173630861933758,4.247148006287821,6.143877834790306,2.4313364818935144,0.0,0.0,0.0,15.293257617156561,False
16,0.2,ercb_beta_0p2,3,0.34672597856011367,5.508444496100658,0.884761487486304,0.1120708916300509,0.6132843137254902,0.7354764107308048,1.0,1.0,0.8614167448149482,0.1364606076850569,5.33381911842527,7.805830192580927,2.7958083376872516,0.0,0.0,0.0,11.20708916300509,False
