scenario,kappa,algorithm,sampler,admission,beta,seeds,steps_mean,steps_q05,steps_p95,steps_worst,batch_size_mean,batch_size_q05,batch_size_p95,batch_size_worst,initial_views_mean,initial_views_q05,initial_views_p95,initial_views_worst,final_views_mean,final_views_q05,final_views_p95,final_views_worst,target_final_views_mean,target_final_views_q05,target_final_views_p95,target_final_views_worst,mean_count_mean,mean_count_q05,mean_count_p95,mean_count_worst,count_std_mean,count_std_q05,count_std_p95,count_std_worst,count_min_mean,count_min_q05,count_min_p95,count_min_worst,count_max_mean,count_max_q05,count_max_p95,count_max_worst,jain_index_mean,jain_index_q05,jain_index_p95,jain_index_worst,oracle_jain_index_mean,oracle_jain_index_q05,oracle_jain_index_p95,oracle_jain_index_worst,jain_regret_mean,jain_regret_q05,jain_regret_p95,jain_regret_worst,fairness_rmse_updates_mean,fairness_rmse_updates_q05,fairness_rmse_updates_p95,fairness_rmse_updates_worst,fairness_nrmse_mean,fairness_nrmse_q05,fairness_nrmse_p95,fairness_nrmse_worst,cohort_mid_first_ratio_mean,cohort_mid_first_ratio_q05,cohort_mid_first_ratio_p95,cohort_mid_first_ratio_worst,admission_tracking_rmse_mean,admission_tracking_rmse_q05,admission_tracking_rmse_p95,admission_tracking_rmse_worst,admission_tracking_nrmse_mean,admission_tracking_nrmse_q05,admission_tracking_nrmse_p95,admission_tracking_nrmse_worst,admission_max_lag_mean,admission_max_lag_q05,admission_max_lag_p95,admission_max_lag_worst,admission_max_overshoot_mean,admission_max_overshoot_q05,admission_max_overshoot_p95,admission_max_overshoot_worst,admission_rate_ratio_mean,admission_rate_ratio_q05,admission_rate_ratio_p95,admission_rate_ratio_worst,admission_pool_rate_cv_mean,admission_pool_rate_cv_q05,admission_pool_rate_cv_p95,admission_pool_rate_cv_worst,budget_violation_mean,budget_violation_q05,budget_violation_p95,budget_violation_worst,entropy_ratio_mean,entropy_ratio_q05,entropy_ratio_p95,entropy_ratio_worst,shuffle_kl_norm_mean,shuffle_kl_norm_q05,shuffle_kl_norm_p95,shuffle_kl_norm_worst,duplicate_rate_mean,duplicate_rate_q05,duplicate_rate_p95,duplicate_rate_worst,temporal_w1_mean,temporal_w1_q05,temporal_w1_p95,temporal_w1_worst,cohort_entropy_mean,cohort_entropy_q05,cohort_entropy_p95,cohort_entropy_worst,gradient_ratio_iid_mean,gradient_ratio_iid_q05,gradient_ratio_iid_p95,gradient_ratio_iid_worst,gradient_ratio_smooth_order_mean,gradient_ratio_smooth_order_q05,gradient_ratio_smooth_order_p95,gradient_ratio_smooth_order_worst,gradient_ratio_abrupt_regime_mean,gradient_ratio_abrupt_regime_q05,gradient_ratio_abrupt_regime_p95,gradient_ratio_abrupt_regime_worst,gradient_ratio_mean_mean,gradient_ratio_mean_q05,gradient_ratio_mean_p95,gradient_ratio_mean_worst,gradient_ratio_worst_mean,gradient_ratio_worst_q05,gradient_ratio_worst_p95,gradient_ratio_worst_worst,temporal_w1_to_uniform,temporal_w1_to_uniform_p95,cohort_entropy_to_uniform
base_stream,640,ercb_beta_0,softmax,token,0.0,24,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,240.0,240.0,240.0,240.0,92.89054274021322,92.19280664814684,93.66418822423812,94.019997872793,10.041666666666666,7.15,12.849999999999998,14.0,314.25,310.0,319.0,321.0,0.8697127753217982,0.867823007344293,0.8714133689453171,0.8716379893732802,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.04559343274255795,0.04389283911903909,0.047483200720063214,0.04835545447945455,32.627812515453826,31.50762283321622,33.43722593284374,34.10102637751539,0.13594921881439095,0.1312817618050676,0.13932177472018223,0.1420876099063141,0.9993709632555792,0.9793318823822803,1.022174237675602,1.0337609723160026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023617366092264253,0.022642804113374413,0.024759312944689114,0.024795796318169486,0.9868543357198828,0.9862561469541576,0.9875297107180058,0.9876582471136633,1.001311676809585,0.9439397698238876,1.0409055158100022,1.0731385256041563,0.9968285454111708,0.9083700684412785,1.085209056420514,1.0904336238182715,1.018301993194487,0.8814308835370339,1.1413771625839761,1.2330578461822916,1.0054807384717477,0.9295480604165426,1.0810483463667442,1.1185296696352254,1.050314521731232,0.9947582980154747,1.1413771625839761,1.2330578461822916,1.0,1.0483519986082994,1.0
base_stream,640,ercb_beta_0p001,softmax,token,0.001,24,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,240.0,240.0,240.0,240.0,89.40940263302157,88.18273540880705,90.22618035182644,91.12321328838223,11.166666666666666,8.15,13.849999999999998,14.0,312.5416666666667,307.0,317.85,323.0,0.8781255456088615,0.8761686257342038,0.8810544797820177,0.8815934311493897,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.037180662455494666,0.03425172828233846,0.039137582330152354,0.041300238118022525,28.719861312227312,27.28010329274895,30.108675998099272,30.695276509586943,0.11966608880094713,0.11366709705312064,0.12545281665874697,0.12789698545661227,0.9993512678319002,0.9621937796689378,1.025760377940224,1.0341939986043265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.0,0.0,0.0,0.0,0.9995822839912227,0.9992974087735628,0.9999211942026137,1.0000330012611487,0.0004177160087773799,7.88057973862608e-05,0.0007025912264371943,0.0007397303695189038,0.0,0.0,0.0,0.0,0.02395129261734358,0.023059226116789334,0.025020134774758077,0.025128590266967076,0.9869553262423582,0.9861947379964607,0.9878233195556838,0.988146792403211,0.9962882825801308,0.9632266786693399,1.0485965165732722,1.05193916141281,1.0207757561249415,0.9588871660847132,1.090114950563863,1.1344142868467972,1.0223128327710735,0.9157291483765371,1.1219742388648166,1.1328693914999957,1.013125623825382,0.9658562318301134,1.0767115189552825,1.0817171888453645,1.0493696167481144,0.9802617641905987,1.1312645672977686,1.1344142868467972,1.0141390248080502,1.0593956445868573,1.0001023357944734
base_stream,640,ercb_beta_0p002,softmax,token,0.002,24,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,240.0,240.0,240.0,240.0,86.39640820900478,85.46859559219261,87.55729169991237,88.52095797041513,11.916666666666666,10.0,13.849999999999998,14.0,307.75,304.15,312.0,313.0,0.8852733054939605,0.8825383581116117,0.8874524953584623,0.8891084218325512,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.03003290257039549,0.027853712705893856,0.032767849952744406,0.035056265983579804,25.39820301557745,24.193013057870502,26.555125667883882,28.599300690751164,0.1058258458982394,0.10080422107446042,0.11064635694951616,0.11916375287812984,1.0035302989118675,0.9879017525701558,1.025347808761489,1.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.0,0.0,0.0,0.0,0.9984383971742684,0.9978981186306245,0.9990755151830818,0.9991680129274745,0.0015616028257314175,0.000924484816918178,0.0021018813693754945,0.0022189211337679364,0.0,0.0,0.0,0.0,0.02483897384890561,0.024047049768126178,0.025631140638752797,0.025764286449221324,0.9868244399819749,0.9861067763030396,0.9873622414219172,0.9874574843505529,0.9941304981503887,0.9495473639726016,1.0249419686140664,1.0475100433253228,1.1010723804142142,1.0403066746646603,1.1701183353146054,1.2122143471577167,1.1362961116191659,1.0077564319004422,1.2316039880042844,1.233900654475905,1.0771663300612562,1.008138607214061,1.1225563341445213,1.1295660082980754,1.1473327535028541,1.0525587647826908,1.2316039880042844,1.233900654475905,1.051724978639404,1.08526668632825,0.9999697060277025
base_stream,640,ercb_beta_0p003,softmax,token,0.003,24,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,240.0,240.0,240.0,240.0,83.6771640893997,83.17643549938535,84.23517408669053,84.67726967728707,13.083333333333334,12.0,15.0,15.0,304.5,299.3,309.7,313.0,0.8916138996340336,0.8903237598093797,0.8927696849713991,0.8928045533032218,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.023692308430322554,0.02253652309295707,0.024982448254976447,0.026008901153033892,22.305202012238738,21.498257663279503,23.71716334446312,24.089831879861677,0.09293834171766141,0.08957607359699793,0.09882151393526299,0.10037429949942366,1.0004490799538674,0.9872528970688481,1.0250566414845683,1.0279134682484299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.0,0.0,0.0,0.0,0.9965431099671268,0.9962065138586957,0.9969859367923439,0.9976776443660875,0.003456890032873201,0.0030140632076560256,0.0037934861413042786,0.004040248030040657,0.0,0.0,0.0,0.0,0.025832526482352233,0.024824116297201756,0.026583086871245994,0.02672370687911069,0.986563391104904,0.9861606509559799,0.98712468207793,0.9874526890465454,1.0087692302349531,0.9542755230223564,1.0476475480508558,1.0540915002668125,1.1755598159596485,1.0829758304989066,1.2675327161314043,1.2947833962708788,1.2322687849742617,1.0521227411294938,1.3301776542028927,1.4117462096802795,1.1388659437229542,1.034787571068109,1.199768265675284,1.2450571536389115,1.2384315978748446,1.08652920992754,1.3301776542028927,1.4117462096802795,1.0937937101637063,1.12557373110091,0.9997051797773513
base_stream,640,ercb_beta_0p004,softmax,token,0.004,24,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,240.0,240.0,240.0,240.0,81.25678995880962,80.45942511584005,81.95950217615383,82.12380897157657,14.083333333333334,12.0,15.0,15.0,301.9583333333333,298.15,305.85,306.0,0.8971567633403993,0.8955591461020199,0.8989645104235509,0.8998279079126117,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.018149444723956968,0.016341697640805265,0.019747061962336183,0.02012229750317529,19.453909762692728,18.20513847423389,20.559505993615964,21.514646174176324,0.08105795734455302,0.07585474364264122,0.08566460830673318,0.08964435905906802,1.0006808663821605,0.9786619094414912,1.017429913169548,1.0214979195561722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.0,0.0,0.0,0.0,0.9940831727325135,0.9933788289961322,0.9948817116343841,0.9953690416380068,0.005916827267486648,0.005118288365615971,0.006621171003867851,0.006721149801104375,0.0,0.0,0.0,0.0,0.027466701650650942,0.026759008662785477,0.028332358556698942,0.028677125077428048,0.9860491597922006,0.9855721338612402,0.9865627099465324,0.9865941379848505,1.0246118009108331,0.9805298061076589,1.0840118224863529,1.0932891799836577,1.30155890317224,1.2236144642631592,1.4174390735335853,1.4252464569978407,1.4316611490945377,1.308662234873288,1.5815469813342165,1.6349843793681431,1.2526106177258702,1.1882766492477599,1.338854602948133,1.348109777486548,1.433727586174656,1.308662234873288,1.5815469813342165,1.6349843793681431,1.162987504336799,1.199640910252861,0.9991840985051813
base_stream,640,ercb_beta_0p005,softmax,token,0.005,24,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,240.0,240.0,240.0,240.0,79.43722103443777,78.86142152905974,79.9569758206016,80.1014356925018,14.25,13.0,15.0,15.0,299.5416666666667,297.15,303.85,305.0,0.9012624219785866,0.9000967886318426,0.9025507787981679,0.9026204199065412,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.014043786085769608,0.012755429266188228,0.015209419432513499,0.015534525128900967,17.231410101377673,15.961755252766146,18.588102407167895,18.9356806056714,0.07179754208907364,0.06650731355319227,0.0774504266965329,0.0788986691902975,0.9993586220540323,0.9788610398660625,1.0230406235120166,1.0281293952180028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.0,0.0,0.0,0.0,0.9911959350434228,0.9903163262260493,0.9921660071752358,0.9922456404742029,0.008804064956577212,0.007833992824764106,0.009683673773950697,0.009808803178150213,0.0,0.0,0.0,0.0,0.028824208581175414,0.027862510278519406,0.029702872525524192,0.02976784751222696,0.9857688311817081,0.9851484992786669,0.9864752699310779,0.9866744875554787,1.0302961737634886,0.9826921051873762,1.0761298728462054,1.0856486728490315,1.4273856504458748,1.3526170420644923,1.4943903102935308,1.5440318262207577,1.5980104295483286,1.4313634379327063,1.7868314249315893,1.8009956591628418,1.3518974179192307,1.2747611912875993,1.4263444197703243,1.461561580096925,1.5980609301969826,1.4313634379327063,1.7868314249315893,1.8009956591628418,1.2204666883076618,1.257670834651338,0.998900035700423
base_stream,640,ercb_beta_0p006,softmax,token,0.006,24,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,240.0,240.0,240.0,240.0,77.98836477831695,77.57341597271869,78.53091321971291,78.55876781111068,14.458333333333334,13.15,15.0,15.0,299.2916666666667,296.0,302.85,304.0,0.9044906999431638,0.9032870424241926,0.9054093174549414,0.9061225568513248,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.010815508121192438,0.009896890609414793,0.012019165640163537,0.012081130020064279,15.517689548093726,14.454769357440897,16.649883020407476,16.926901665691805,0.06465703978372385,0.060228205656003744,0.06937451258503115,0.07052875694038252,1.0055475854881493,0.9895710187760779,1.0266028170920707,1.0348011363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.0,0.0,0.0,0.0,0.9878067614082872,0.9869118082074406,0.9884639717670488,0.9888661407107859,0.012193238591712714,0.011536028232951143,0.013088191792559385,0.013700918704281723,0.0,0.0,0.0,0.0,0.030090900317655694,0.02932968659151336,0.031065745614385906,0.03146603330319135,0.98511190902983,0.9845861517078638,0.9855875424373998,0.9858507957053338,1.023831510166348,0.9866338513522626,1.070660971826471,1.08119126567483,1.5212613662041503,1.42376713440616,1.5978100874492545,1.700059282002679,1.7480386011764288,1.6125067699399578,1.9171922921131004,1.928949549514039,1.4310438258489757,1.3582050422111198,1.4978690590368355,1.5435731062672258,1.7480386011764288,1.6125067699399578,1.9171922921131004,1.928949549514039,1.274100600384554,1.3153772310182097,0.9982343628365561
base_stream,640,ercb_beta_0p0075,softmax,token,0.0075,24,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,240.0,240.0,240.0,240.0,76.37862471726622,75.92863184596574,76.91882641142912,77.06153385444647,14.958333333333334,15.0,15.0,15.0,295.4583333333333,291.15,300.85,302.0,0.9080338891534302,0.906850890829404,0.9090169125226305,0.909427925626479,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.007272318910925941,0.006289295541725609,0.008455317234952232,0.008768941198670999,13.039897614830423,11.78209662124243,13.878968868923318,13.99142594591416,0.054332906728460105,0.04909206925517679,0.057829036953847154,0.05829760810797567,1.0050329820820403,0.9831807465293345,1.0259254155359565,1.0293276108726752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.0,0.0,0.0,0.0,0.9823013014797978,0.98105111366603,0.983464951739237,0.9841005535095209,0.017698698520202116,0.016535048260762988,0.018948886333969944,0.019829010622582854,0.0,0.0,0.0,0.0,0.031580629542995106,0.030632657364690154,0.03275286409286243,0.03288069310451177,0.9847152509092595,0.9839612284122163,0.9853162433778067,0.9854492203374808,1.0342688929995563,0.9723601720769522,1.0892038510615938,1.0928991908970869,1.6552046197054384,1.5410999903435187,1.7741154618695936,1.7996395619039143,1.9333663949648174,1.7054452314427866,2.169458068060624,2.2240918990658103,1.5409466358899373,1.423108526973655,1.6501958292776455,1.6862484803286382,1.9333663949648174,1.7054452314427866,2.169458068060624,2.2240918990658103,1.3371783042876733,1.3868127362259277,0.9978324209225236
base_stream,640,ercb_beta_0p01,softmax,token,0.01,24,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,240.0,240.0,240.0,240.0,74.88108864446366,74.56503061499218,75.06577108717276,75.1361431003748,15.0,15.0,15.0,15.0,293.375,291.15,295.85,299.0,0.9112887026553346,0.9108898303040686,0.9119703732755428,0.9120949490841996,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.004017505409021553,0.0033358347888133412,0.00441637776028761,0.004568611804451894,10.438226370238699,9.350816929772893,11.464603724063723,11.60861748874516,0.04349260987599458,0.038961737207387055,0.047769182183598845,0.048369239536438166,0.9994797567353398,0.9799063321999102,1.0164953806733474,1.0201729106628241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.0,0.0,0.0,0.0,0.9721549442745333,0.9704765255533393,0.973425131085,0.9738146550788593,0.027845055725466746,0.026574868915000025,0.029523474446660727,0.0300241400906234,0.0,0.0,0.0,0.0,0.03331610028626742,0.03279245252806353,0.03453106095299476,0.034690520755971774,0.9840080777708883,0.9831959120839399,0.984590470087512,0.9846187927268766,1.0433593406878778,0.9889651893045007,1.0819664826650444,1.0871620575890113,1.8185644791822,1.7366929154701534,1.940922494526097,2.0031645289610873,2.211059583383365,2.035162033095782,2.4165361419089253,2.4783719085105163,1.6909944677511473,1.6140269251880524,1.8001532141478531,1.8292281009370595,2.211059583383365,2.035162033095782,2.4165361419089253,2.4783719085105163,1.410661127752935,1.462104657144864,0.9971158276900934
base_stream,640,ercb_beta_0p0125,softmax,token,0.0125,24,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,240.0,240.0,240.0,240.0,74.20185515152507,74.04999526734963,74.33624952384521,74.34002959375252,15.0,15.0,15.0,15.0,290.7916666666667,288.0,296.85,297.0,0.9127511098822021,0.9124625561984209,0.9130769463543071,0.9133914605510034,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.9153062080643561,0.0025550981821539968,0.0022292617100490076,0.0028436518659352484,0.002851775341712548,8.615261599139377,8.136574798842698,9.218994774337267,9.314504817756015,0.0358969233297474,0.03390239499517791,0.038412478226405276,0.038810436740650066,1.0004248169352834,0.9801536453654349,1.0174632171575158,1.0298833819241984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.09459110034925282,0.0,0.0,0.0,0.0,0.961844342610973,0.9608216337318324,0.9628163552363802,0.963668481652881,0.038155657389027015,0.03718364476361985,0.03917836626816764,0.03934400612900351,0.0,0.0,0.0,0.0,0.034589106016056304,0.0338999805273656,0.035321712726216474,0.03534823072171723,0.9836902137579931,0.9829085575902412,0.9842895742597991,0.984516918979768,1.05179398247329,1.0069207079335698,1.1017241573647605,1.1303271162951976,1.9309533558086127,1.8328559335558483,2.040781674970172,2.0557358571048336,2.40399187440951,2.204003255503168,2.573075282001242,2.61151431522618,1.7955797375638045,1.70380014938237,1.8835294446565676,1.8874315781879216,2.40399187440951,2.204003255503168,2.573075282001242,2.61151431522618,1.4645623851927243,1.495582216417686,0.9967937294822934
