scenario,kappa,algorithm,sampler,admission,beta,seeds,steps_mean,steps_q05,steps_p95,steps_worst,batch_size_mean,batch_size_q05,batch_size_p95,batch_size_worst,initial_views_mean,initial_views_q05,initial_views_p95,initial_views_worst,final_views_mean,final_views_q05,final_views_p95,final_views_worst,target_final_views_mean,target_final_views_q05,target_final_views_p95,target_final_views_worst,mean_count_mean,mean_count_q05,mean_count_p95,mean_count_worst,count_std_mean,count_std_q05,count_std_p95,count_std_worst,count_min_mean,count_min_q05,count_min_p95,count_min_worst,count_max_mean,count_max_q05,count_max_p95,count_max_worst,jain_index_mean,jain_index_q05,jain_index_p95,jain_index_worst,oracle_jain_index_mean,oracle_jain_index_q05,oracle_jain_index_p95,oracle_jain_index_worst,jain_regret_mean,jain_regret_q05,jain_regret_p95,jain_regret_worst,fairness_rmse_updates_mean,fairness_rmse_updates_q05,fairness_rmse_updates_p95,fairness_rmse_updates_worst,fairness_nrmse_mean,fairness_nrmse_q05,fairness_nrmse_p95,fairness_nrmse_worst,cohort_mid_first_ratio_mean,cohort_mid_first_ratio_q05,cohort_mid_first_ratio_p95,cohort_mid_first_ratio_worst,admission_tracking_rmse_mean,admission_tracking_rmse_q05,admission_tracking_rmse_p95,admission_tracking_rmse_worst,admission_tracking_nrmse_mean,admission_tracking_nrmse_q05,admission_tracking_nrmse_p95,admission_tracking_nrmse_worst,admission_max_lag_mean,admission_max_lag_q05,admission_max_lag_p95,admission_max_lag_worst,admission_max_overshoot_mean,admission_max_overshoot_q05,admission_max_overshoot_p95,admission_max_overshoot_worst,admission_rate_ratio_mean,admission_rate_ratio_q05,admission_rate_ratio_p95,admission_rate_ratio_worst,admission_pool_rate_cv_mean,admission_pool_rate_cv_q05,admission_pool_rate_cv_p95,admission_pool_rate_cv_worst,budget_violation_mean,budget_violation_q05,budget_violation_p95,budget_violation_worst,entropy_ratio_mean,entropy_ratio_q05,entropy_ratio_p95,entropy_ratio_worst,shuffle_kl_norm_mean,shuffle_kl_norm_q05,shuffle_kl_norm_p95,shuffle_kl_norm_worst,duplicate_rate_mean,duplicate_rate_q05,duplicate_rate_p95,duplicate_rate_worst,temporal_w1_mean,temporal_w1_q05,temporal_w1_p95,temporal_w1_worst,cohort_entropy_mean,cohort_entropy_q05,cohort_entropy_p95,cohort_entropy_worst,gradient_ratio_iid_mean,gradient_ratio_iid_q05,gradient_ratio_iid_p95,gradient_ratio_iid_worst,gradient_ratio_smooth_order_mean,gradient_ratio_smooth_order_q05,gradient_ratio_smooth_order_p95,gradient_ratio_smooth_order_worst,gradient_ratio_abrupt_regime_mean,gradient_ratio_abrupt_regime_q05,gradient_ratio_abrupt_regime_p95,gradient_ratio_abrupt_regime_worst,gradient_ratio_mean_mean,gradient_ratio_mean_q05,gradient_ratio_mean_p95,gradient_ratio_mean_worst,gradient_ratio_worst_mean,gradient_ratio_worst_q05,gradient_ratio_worst_p95,gradient_ratio_worst_worst,temporal_w1_to_uniform,temporal_w1_to_uniform_p95,cohort_entropy_to_uniform
base_stream,816,active_bonus3,active_bonus,token,,32,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,260.8695652173913,260.8695652173913,260.8695652173913,260.8695652173913,82.59042454598634,82.16489445569837,83.1978142557482,83.2971654342222,16.4375,14.0,18.0,18.0,365.25,359.55,369.45,371.0,0.9088972059711162,0.9076772689567177,0.9097498807175426,0.9105712772431545,0.922030276861873,0.922030276861873,0.922030276861873,0.922030276861873,0.013133070890756715,0.012280396144330403,0.014353007905155212,0.014553187444399485,25.336031054427806,23.96995763232926,26.344976567280348,26.662952639913325,0.0971214523753066,0.09188483759059549,0.10098907684124134,0.10220798511966774,1.105839866675793,1.0685364516509748,1.1393850043897564,1.145658263305322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.0,0.0,0.0,0.0,0.9584681625516062,0.9567911888017859,0.9599773280888896,0.9604284619454361,0.041531837448393887,0.040022671911110384,0.043208811198214056,0.04368951053291974,0.0,0.0,0.0,0.0,0.03722692530470626,0.036146987718820266,0.038206229337070505,0.03839772362094669,0.9851207111674414,0.984500632325675,0.9859812579789542,0.9861236748135687,0.9800816777897252,0.9303541802751629,1.0126537107119509,1.0258850492079126,3.041581963516924,2.8719199617844793,3.214146462003021,3.252867255030606,3.9490091078586413,3.5871334498372165,4.237484683111114,4.284614535842748,2.6568909163884307,2.489733947968982,2.797975087806138,2.8213536992125214,3.9490091078586413,3.5871334498372165,4.237484683111114,4.284614535842748,1.749731952580675,1.7957609905066783,0.9963358396909646
base_stream,816,ercb_beta_0,softmax,token,0.0,32,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,260.8695652173913,260.8695652173913,260.8695652173913,260.8695652173913,91.37437747032743,90.42762144645135,92.5355779376298,92.67676616481332,12.6875,11.0,15.0,16.0,325.625,322.0,329.45,331.0,0.890716748778997,0.8882365969761551,0.8927305223897927,0.8935317238510423,0.922030276861873,0.922030276861873,0.922030276861873,0.922030276861873,0.03131352808287602,0.029299754472080358,0.033793679885717874,0.03409667298503649,25.951377086343165,23.86716542076698,27.18725815379258,27.620880570290673,0.09948027883098212,0.09149080077960675,0.10421782292287156,0.10588004218611424,1.0000325271063317,0.9771302316131654,1.022512652898623,1.0289621882542237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127578755694572,0.02059236940072345,0.021882106715500182,0.021928974006875497,0.9887436263188105,0.9883844502360574,0.9891246366137068,0.9892641823492544,1.002249707228942,0.9616645094765396,1.0518219034502843,1.0665550113628484,0.9970347513085034,0.9332560273024576,1.076156250552231,1.0905447732309206,0.9917603543244999,0.8924711091683685,1.1004668411024339,1.108714180003414,0.9970149376206485,0.9422477892987896,1.0551447048891658,1.0599956688602654,1.0347246281414706,0.986422150263527,1.1004668411024339,1.108714180003414,1.0,1.028498082946712,1.0
base_stream,816,ercb_beta_0p006,softmax,token,0.006,32,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,260.8695652173913,260.8695652173913,260.8695652173913,260.8695652173913,78.88404667211883,78.56153750151245,79.26453811293098,79.38968520659513,17.84375,17.0,18.0,18.0,314.8125,311.55,319.45,322.0,0.9162211819103421,0.9154799206348269,0.9168483714153556,0.9169587392510149,0.922030276861873,0.922030276861873,0.922030276861873,0.922030276861873,0.005809094951530935,0.00518190544651746,0.006550356227046144,0.006794809657047929,11.815099756675675,10.784281300460629,13.379944684378104,13.45362404707371,0.04529121573392342,0.041339744985099076,0.05128978795678273,0.05157222551378255,1.0024854889618882,0.9873046456645179,1.0248796743101536,1.0430379746835443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.0,0.0,0.0,0.0,0.9883811687443261,0.9874710563088709,0.9893474158396627,0.9894684954481945,0.011618831255673884,0.010652584160337335,0.012528943691129127,0.012863923204282684,0.0,0.0,0.0,0.0,0.02511245447506805,0.024408894992748783,0.02573159266392449,0.02606617243344415,0.9881101718620928,0.9875284430630863,0.988826548488781,0.9889230307814539,0.9870897039573642,0.9330925157530403,1.0240265571706848,1.025263872146957,1.2924252991471201,1.2211332726450663,1.3733577419350171,1.380954936573584,1.415881417916351,1.3115396106608146,1.5375453012408071,1.5597892931677226,1.2317988070069452,1.1784801948839405,1.296859743506486,1.3003665991175197,1.415881417916351,1.3115396106608146,1.5375453012408071,1.5597892931677226,1.1803301949623861,1.2094307952198047,0.9993593339670102
base_stream,816,ercb_beta_inf,least_count,token,inf,32,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,260.8695652173913,260.8695652173913,260.8695652173913,260.8695652173913,75.86017133821369,75.86017133821369,75.86017133821369,75.86017133821369,18.0,18.0,18.0,18.0,298.0,298.0,298.0,298.0,0.922030276861873,0.922030276861873,0.922030276861873,0.922030276861873,0.922030276861873,0.922030276861873,0.922030276861873,0.922030276861873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000793783980193,0.9983193277310924,1.0016835016835017,1.0025252525252526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.0,0.0,0.0,0.0,0.6336286484937428,0.6336286484937428,0.6336286484937428,0.6336286484937428,0.3663713515062572,0.3663713515062572,0.3663713515062572,0.3663713515062572,0.0,0.0,0.0,0.0,0.029143270599891143,0.028812233977184038,0.02954840450582632,0.02960731027343797,0.9865948130032722,0.9860783013393482,0.9872298927342894,0.9872449759200439,1.0087224555547898,0.9679528019336706,1.0581812669936372,1.0785652940675825,1.7810803241223656,1.7404006115434378,1.8455508752662393,1.8593775076991663,1.9644259885116586,1.8920669471090839,2.0356718726811827,2.054874287016638,1.5847429227296046,1.5503279528572245,1.614235237427736,1.624027602206036,1.9644259885116586,1.8920669471090839,2.0356718726811827,2.054874287016638,1.3697857492648724,1.3888277661514772,0.9978267234717472
base_stream,816,gate_r2_active_bonus3,active_bonus,gate_r2,,32,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,260.8695652173913,260.8695652173913,260.8695652173913,260.8695652173913,82.81603663645475,82.28329146333135,83.39481283902519,83.87143595632652,16.25,14.0,18.0,18.0,365.625,361.55,369.45,370.0,0.9084440372862332,0.9072800867769264,0.9095131382033148,0.9097170976931546,0.922030276861873,0.922030276861873,0.922030276861873,0.922030276861873,0.013586239575639664,0.012517138658558169,0.014750190084946645,0.015713406883576475,25.14928501569363,24.124946346950743,26.152080987053264,26.47968868856804,0.0964055925601589,0.09247896099664452,0.10024964378370417,0.10150547330617748,1.095969462194788,1.075138478596478,1.126689706771601,1.1310282074613285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.0,0.0,0.0,0.0,0.9587682276367157,0.9560849165989087,0.9610865340306285,0.9612277204760709,0.04123177236328433,0.03891346596937153,0.043915083401091216,0.04422729749862402,0.0,0.0,0.0,0.0,0.03669826233266321,0.0357229480251767,0.037793284326029124,0.03797603036389503,0.9852257925749677,0.9845807777526342,0.9858459113345291,0.9861612667634269,0.9743302028527386,0.9255429577076026,1.0247447716953215,1.0356853251616436,2.9744113766887352,2.8162597023530958,3.087450492766,3.2257830793910567,3.8240568611793275,3.612999578555284,4.047387429514957,4.128775445461109,2.590932813573601,2.47325085446332,2.7160220042350294,2.7491247162013135,3.8240568611793275,3.612999578555284,4.047387429514957,4.128775445461109,1.7248838490438232,1.77635183773449,0.9964421174000989
base_stream,816,gate_r2_uniform,softmax,gate_r2,0.0,32,12000.0,12000.0,12000.0,12000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,260.8695652173913,260.8695652173913,260.8695652173913,260.8695652173913,91.3126833634933,90.14135555082916,92.6286781144122,92.69318456622555,12.9375,8.55,16.0,16.0,326.6875,322.0,334.35,338.0,0.8908472333699837,0.8880368531721434,0.8933363452460229,0.8940267835523906,0.922030276861873,0.922030276861873,0.922030276861873,0.922030276861873,0.03118304349188922,0.028693931615850092,0.033993423689729574,0.034131931751472444,25.88226081599101,24.585216020536237,27.397325305193394,27.550743697055978,0.09921533312796552,0.09424332807872224,0.10502308033657469,0.10561118417204791,0.9966847979484276,0.9711991410488245,1.0220412422276361,1.0334148329258355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.12222473716038361,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02114129719213037,0.02049651503825593,0.021822337187779435,0.02246245184997478,0.9887734978669773,0.9882997079339421,0.9892206341493832,0.9893662733889331,1.0047445863982776,0.966134932439962,1.0345090056937656,1.0455486555755693,0.9872946204997955,0.9143940873833795,1.0639501119684445,1.1475997910758995,0.9816704552716597,0.8420527916150585,1.0953206533226125,1.1016603346796172,0.9912365540565776,0.9332627300657907,1.0519247857319487,1.0857038773830752,1.0287837953089185,0.9715711357032668,1.0981221359291522,1.1475997910758995,0.9936787127406974,1.0256888084340403,1.0000302116214677
long_stream,816,active_bonus3,active_bonus,token,,32,18000.0,18000.0,18000.0,18000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,121.98057152133575,121.35653012962317,122.6522910888383,123.27626307216258,1.5,1.0,2.0,2.0,474.28125,465.55,483.0,484.0,0.8819006989993244,0.8807528542195573,0.8829658233437703,0.883807584483167,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.017816789709221056,0.01675166536477518,0.018964634488988198,0.02003464369693375,29.304173112907957,28.026244985061005,30.857615009088548,31.139471200819493,0.08791251933872388,0.08407873495518302,0.09257284502726565,0.09341841360245848,1.1639463491782647,1.140008652539714,1.186761004711857,1.195710455764075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0981602797144488,0.0981602797144488,0.0981602797144488,0.0981602797144488,0.0,0.0,0.0,0.0,0.9601896562365804,0.9581847374504243,0.9616114448150973,0.9618778285574653,0.03981034376341958,0.03838855518490269,0.0418152625495757,0.04217041356020311,0.0,0.0,0.0,0.0,0.046823602395021285,0.04574477741345704,0.047897064290060215,0.04792960408667357,0.9788563894898932,0.9780134933043634,0.9798805778564201,0.9800768233829417,0.9677362579850599,0.9296745967898498,1.0056143200115286,1.0215277914344687,2.665431363981651,2.548671135357431,2.8106801759769584,2.829576053376993,4.182659113624527,3.918126723326592,4.443792153205425,4.47372119180681,2.6052755785304127,2.4867789037679904,2.731610080814871,2.751997732188606,4.182659113624527,3.918126723326592,4.443792153205425,4.47372119180681,1.8464610900602403,1.8887924255292614,0.9935194186591858
long_stream,816,ercb_beta_0,softmax,token,0.0,32,18000.0,18000.0,18000.0,18000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,143.73242078720648,142.39092438175342,144.956568477774,145.3742297199427,1.03125,0.0,2.0,2.0,451.6875,446.0,458.0,462.0,0.8432175563596718,0.8409639112313277,0.8456826836532967,0.8476908618359967,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.056499932348873766,0.054034805055248804,0.0587535774772178,0.05952468126309296,55.12586171960366,53.470442617925194,57.449116057097335,57.66538213084429,0.165377585158811,0.1604113278537756,0.172347348171292,0.17299614639253288,0.9946780185368875,0.9817416743994225,1.0126768757611593,1.0130657956136258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0981602797144488,0.0981602797144488,0.0981602797144488,0.0981602797144488,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025358564362433264,0.0247551237178199,0.026031542109474178,0.026097535822408858,0.9852413260436507,0.9848280823064897,0.9857704546974694,0.9858450814254158,0.9999094494188439,0.9666130961718873,1.0202851562937258,1.0580775726681741,1.0044115239932414,0.9486752025824683,1.065028879442182,1.0773798168592383,1.0031354287210963,0.9126853358646115,1.0939916837772308,1.118467517985181,1.0024854673777273,0.9603718716242184,1.0492047661513908,1.062200078667092,1.0340185477252994,0.9935686965872456,1.0939916837772308,1.118467517985181,1.0,1.026538479758652,1.0
long_stream,816,ercb_beta_0p006,softmax,token,0.006,32,18000.0,18000.0,18000.0,18000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,116.12954523370072,115.75932009761345,116.62324149364763,116.75885246793764,1.8125,1.0,2.0,2.0,418.6875,415.0,424.0,425.0,0.8917622950788052,0.8909409526339572,0.8923775037867386,0.8928507653516761,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.007955193629740266,0.007339984921806824,0.008776536074588254,0.009002568253841492,19.84486997916578,18.82306665663847,21.220747215399125,21.426013956731992,0.05953460993749734,0.056469199969915417,0.06366224164619738,0.06427804187019598,1.000210804853804,0.9868232643807074,1.0199103744830882,1.0249128051818635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0981602797144488,0.0981602797144488,0.0981602797144488,0.0981602797144488,0.0,0.0,0.0,0.0,0.9759004189658582,0.974336993765819,0.977188242600341,0.9779583536906212,0.024099581034141726,0.022811757399659006,0.025663006234181027,0.026022024521392087,0.0,0.0,0.0,0.0,0.03769894249967318,0.03710838513497933,0.038394175796940516,0.038475619820568796,0.9813352044708868,0.9806292347661786,0.9820261704451646,0.9827257885760686,1.0068734366721865,0.9707671847760218,1.0405524193131503,1.0588121456624995,1.7158067952254514,1.6494969319064854,1.7873427010745664,1.8051521403968553,2.6284054001540498,2.4896721392259726,2.8106078585002634,2.863984897190066,1.783695210683896,1.725636145400817,1.866857828630047,1.8908024733870779,2.6284054001540498,2.4896721392259726,2.8106078585002634,2.863984897190066,1.486635519300975,1.5140516335308987,0.9960353656819804
long_stream,816,ercb_beta_inf,least_count,token,inf,32,18000.0,18000.0,18000.0,18000.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,333.3333333333333,333.3333333333333,333.3333333333333,333.3333333333333,111.28541883123972,111.28541883123972,111.28541883123972,111.28541883123972,2.0,2.0,2.0,2.0,393.0,393.0,393.0,393.0,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.8997174887085455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0001596495802363,0.99875226050571,1.0010201219702566,1.001529831718511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0981602797144488,0.0981602797144488,0.0981602797144488,0.0981602797144488,0.0,0.0,0.0,0.0,0.5586150198537924,0.5586150198537924,0.5586150198537924,0.5586150198537924,0.44138498014620764,0.44138498014620764,0.44138498014620764,0.44138498014620764,0.0,0.0,0.0,0.0,0.046259155046153355,0.046000323967476615,0.0466096981123513,0.04671185278199851,0.9767386996976757,0.9759962785844105,0.9774597544982413,0.977784648150771,0.9954469494807999,0.9681130792681172,1.0236505880174158,1.0317927147646442,2.4099497563701613,2.3342520035585084,2.47097695561735,2.486705187266543,4.312698772649285,4.241718127638756,4.373171508815583,4.3888084082849925,2.572698492833416,2.5438778312303203,2.6055999629416875,2.6078944591813458,4.312698772649285,4.241718127638756,4.373171508815583,4.3888084082849925,1.8242024424175483,1.838025901079792,0.9913700063921209
