algorithm,mean_rank_lower_better,median_ratio_to_uniform,worst_ratio_to_uniform,cases_ranked
me_qarr,2.56,0.22428542100986493,3.6043663272116393,50
me_bds_C2,2.96,0.4079258323369357,2.109661583280882,50
me_bds_C3,3.84,0.4826081655427223,1.7605137176937056,50
me_bds_C4,4.52,0.5666034499741057,2.293081908721525,50
production_causal_shuffle,4.74,0.8473203145952863,22.62394714772122,50
active_archive_D0,5.86,0.8316107552438525,23.915896172069743,50
uniform_iid,6.04,1.0,1.0,50
exp69_active_archive_D1,7.5,1.955065627986924,22.15165493427652,50
raw_least_count,8.44,4.049052512575558,92.08021900158624,50
exp69_active_archive_D2,8.54,2.6851524250424377,24.3509244887242,50
