dataset,scene,normalized_psnr,vanilla_psnr,delta_psnr,held_out_count,max_view_delta_psnr
aria,aria301_305,25.11241066389491,21.92672535572512,3.185685308169788,539,11.709644317626953
rpng,table_02,23.387708801112762,21.18882799801761,2.1988808030951503,584,3.9844818115234375
rpng,table_06,24.473087235184405,22.682195690945463,1.7908915442389421,555,5.126131057739258
rpng,table_03,23.555496146437445,21.80453405910824,1.7509620873292064,1402,4.133617401123047
aria,aria1253,25.775702134343504,24.05590786096704,1.7197942733764648,262,5.147422790527344
rpng,table_08,23.793198178878804,22.10043133554807,1.692766843330734,1698,4.433618545532227
rpng,table_01,25.581415685524505,23.928826286498293,1.652589399026212,502,3.4344615936279297
rpng,table_07,26.75956388007624,25.270524285780365,1.4890395942958747,958,3.7105274200439453
rpng,table_04,22.401816631835185,21.27662220786138,1.1251944239738059,1215,3.5304412841796875
rpng,table_05,22.78928248577025,21.700924438247803,1.0883580475224477,1234,3.489105224609375
utmm,square-1,21.22477310086474,20.18177710344762,1.0429959974171226,324,3.636608123779297
utmm,square-2,21.4161802525423,20.63065157131273,0.7855286812295716,245,2.311798095703125
utmm,ego-drive,21.26417722735965,20.56058109867191,0.7035961286877388,281,2.3102855682373047
utmm,ego-centric-1,17.758818815280865,17.212575971306144,0.5462428439747207,308,2.0600509643554688
utmm,fast-straight,16.37993567130145,15.948412909227258,0.4315227620741915,68,2.0375499725341797
utmm,ego-centric-2,19.492180009454604,19.2556121577705,0.23656785168410366,261,2.047109603881836
utmm,slow-straight-2,17.223443512088995,17.34967332635044,-0.1262298142614462,121,2.007028579711914
