dataset,scene,frame_index,uid,baseline_psnr,ours_psnr,delta_psnr,scene_delta_psnr
aria,aria301_305,1220,1477350689150.jpg,17.492645263671875,29.202289581298828,11.709644317626953,3.185685308169788
aria,aria301_305,1180,1475350688062.jpg,21.6766357421875,33.14875411987305,11.472118377685547,3.185685308169788
aria,aria301_305,1215,1477100690312.jpg,16.263349533081055,27.49790382385254,11.234554290771484,3.185685308169788
aria,aria301_305,1185,1475600687475.jpg,20.5197811126709,31.285276412963867,10.765495300292969,3.185685308169788
aria,aria301_305,1225,1477600684850.jpg,18.64810562133789,28.716947555541992,10.068841934204102,3.185685308169788
aria,aria301_305,1190,1475850687100.jpg,19.511138916015625,29.527591705322266,10.01645278930664,3.185685308169788
aria,aria301_305,1200,1476350686400.jpg,18.09196662902832,27.881244659423828,9.789278030395508,3.185685308169788
aria,aria301_305,1195,1476100686775.jpg,18.804094314575195,28.56935691833496,9.765262603759766,3.185685308169788
aria,aria301_305,1205,1476600686025.jpg,17.436279296875,26.939220428466797,9.502941131591797,3.185685308169788
aria,aria301_305,1160,1474350690775.jpg,23.52492904663086,32.98479080200195,9.459861755371094,3.185685308169788
aria,aria301_305,1175,1475100688600.jpg,22.37565803527832,31.77294158935547,9.397283554077148,3.185685308169788
aria,aria301_305,1210,1476850692687.jpg,16.07530975341797,25.28023910522461,9.20492935180664,3.185685308169788
aria,aria301_305,1255,1479100683812.jpg,22.6204833984375,31.794588088989258,9.174104690551758,3.185685308169788
aria,aria301_305,1260,1479350683437.jpg,23.060108184814453,31.926959991455078,8.866851806640625,3.185685308169788
aria,aria301_305,1410,1486850690437.jpg,21.392724990844727,30.24122428894043,8.848499298095703,3.185685308169788
aria,aria301_305,1170,1474850694525.jpg,22.74566650390625,31.57030487060547,8.824638366699219,3.185685308169788
aria,aria301_305,1415,1487100689850.jpg,20.919578552246094,29.490337371826172,8.570758819580078,3.185685308169788
aria,aria301_305,1250,1478850684187.jpg,23.6065673828125,32.12367248535156,8.517105102539062,3.185685308169788
aria,aria301_305,1165,1474600693312.jpg,23.13010025024414,31.599281311035156,8.469181060791016,3.185685308169788
aria,aria301_305,1405,1486600690775.jpg,21.555707931518555,29.914865493774414,8.35915756225586,3.185685308169788
aria,aria301_305,1400,1486350691350.jpg,21.660953521728516,29.60017967224121,7.939226150512695,3.185685308169788
aria,aria301_305,1395,1486100691725.jpg,21.57339096069336,29.407142639160156,7.833751678466797,3.185685308169788
aria,aria301_305,1155,1474100689225.jpg,23.082595825195312,30.881750106811523,7.799154281616211,3.185685308169788
aria,aria301_305,1265,1479600683100.jpg,23.575439453125,31.29941749572754,7.723978042602539,3.185685308169788
aria,aria301_305,1245,1478600684525.jpg,24.779979705810547,32.39878845214844,7.618808746337891,3.185685308169788
aria,aria301_305,1290,1480850685025.jpg,22.15846061706543,29.71860122680664,7.560140609741211,3.185685308169788
aria,aria301_305,980,1465350695225.jpg,22.75896453857422,30.082624435424805,7.323659896850586,3.185685308169788
aria,aria301_305,975,1465100698350.jpg,22.283855438232422,29.594215393066406,7.310359954833984,3.185685308169788
aria,aria301_305,1140,1473350694650.jpg,24.158620834350586,31.338436126708984,7.179815292358398,3.185685308169788
aria,aria301_305,1150,1473850689975.jpg,23.23847007751465,30.338512420654297,7.100042343139648,3.185685308169788
aria,aria301_305,970,1464850698687.jpg,22.624208450317383,29.69229507446289,7.068086624145508,3.185685308169788
aria,aria301_305,1240,1478350692350.jpg,24.592153549194336,31.658103942871094,7.065950393676758,3.185685308169788
aria,aria301_305,840,1458350686812.jpg,18.284709930419922,25.3347225189209,7.050012588500977,3.185685308169788
aria,aria301_305,990,1465850694525.jpg,22.501428604125977,29.520933151245117,7.019504547119141,3.185685308169788
aria,aria301_305,1465,1489600695062.jpg,22.226951599121094,29.216510772705078,6.989559173583984,3.185685308169788
aria,aria301_305,1450,1488850694025.jpg,19.8905029296875,26.870025634765625,6.979522705078125,3.185685308169788
aria,aria301_305,1295,1481100684650.jpg,22.140846252441406,29.036270141601562,6.895423889160156,3.185685308169788
aria,aria301_305,985,1465600694850.jpg,22.906448364257812,29.7939395904541,6.887491226196289,3.185685308169788
aria,aria301_305,845,1458600683900.jpg,19.00385856628418,25.86068344116211,6.85682487487793,3.185685308169788
aria,aria301_305,1460,1489350695437.jpg,22.104854583740234,28.861614227294922,6.7567596435546875,3.185685308169788
aria,aria301_305,1120,1472350683025.jpg,25.730701446533203,32.4750862121582,6.744384765625,3.185685308169788
aria,aria301_305,1145,1473600694312.jpg,23.459701538085938,30.160850524902344,6.701148986816406,3.185685308169788
aria,aria301_305,835,1458100685275.jpg,18.317707061767578,25.01306915283203,6.695362091064453,3.185685308169788
aria,aria301_305,1470,1489850690150.jpg,21.918153762817383,28.571260452270508,6.653106689453125,3.185685308169788
aria,aria301_305,1010,1466850690975.jpg,24.39521598815918,31.035242080688477,6.640026092529297,3.185685308169788
aria,aria301_305,950,1463850693437.jpg,23.522655487060547,30.12233543395996,6.599679946899414,3.185685308169788
aria,aria301_305,1005,1466600689725.jpg,24.336273193359375,30.903114318847656,6.566841125488281,3.185685308169788
aria,aria301_305,1135,1473100695025.jpg,24.552888870239258,31.077064514160156,6.524175643920898,3.185685308169788
aria,aria301_305,1235,1478100696775.jpg,24.505325317382812,31.0189208984375,6.5135955810546875,3.185685308169788
aria,aria301_305,1085,1470600692975.jpg,25.531517028808594,32.044654846191406,6.5131378173828125,3.185685308169788
aria,aria301_305,850,1458850693100.jpg,19.54665756225586,26.017629623413086,6.470972061157227,3.185685308169788
aria,aria301_305,1000,1466350690100.jpg,24.557249069213867,30.998441696166992,6.441192626953125,3.185685308169788
aria,aria301_305,1125,1472600696062.jpg,25.236766815185547,31.661922454833984,6.4251556396484375,3.185685308169788
aria,aria301_305,1090,1470850708475.jpg,25.0997371673584,31.51080894470215,6.41107177734375,3.185685308169788
aria,aria301_305,1475,1490100685975.jpg,21.852710723876953,28.25943374633789,6.4067230224609375,3.185685308169788
aria,aria301_305,995,1466100688275.jpg,24.831527709960938,31.21048927307129,6.378961563110352,3.185685308169788
