dataset,scene,scenes,kf_psnr,dense_psnr,delta_psnr,wins,updates,kf_source,dense_source
aria,aria1253,1,27.751062088948817,27.78360744780558,0.03254535885676191,1,7321,results/ERCB_ablation/dense_supervision_densify/aria/aria1253/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/aria/aria1253/event60/kf_dense_s0/evaluation_curve.jsonl
aria,aria1253rot,1,26.559909587210797,27.549780115168144,0.989870527957347,1,11041,results/ERCB_ablation/dense_supervision_densify/aria/aria1253rot/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/aria/aria1253rot/event60/kf_dense_s0/evaluation_curve.jsonl
aria,aria301_12F,1,29.55087911218837,30.23883068734321,0.6879515751548411,1,20881,results/ERCB_ablation/dense_supervision_densify/aria/aria301_12F/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/aria/aria301_12F/event60/kf_dense_s0/evaluation_curve.jsonl
aria,aria301_305,1,30.149445323717025,31.419131801241917,1.2696864775248926,1,10081,results/ERCB_ablation/dense_supervision_densify/aria/aria301_305/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/aria/aria301_305/event60/kf_dense_s0/evaluation_curve.jsonl
rpng,table_01,1,23.65595695471308,23.935354907041905,0.279397952328825,1,14461,results/ERCB_ablation/dense_supervision_densify/rpng/table_01/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/rpng/table_01/event60/kf_dense_s0/evaluation_curve.jsonl
rpng,table_02,1,21.957219693432116,22.487389624608706,0.5301699311765908,1,19921,results/ERCB_ablation/dense_supervision_densify/rpng/table_02/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/rpng/table_02/event60/kf_dense_s0/evaluation_curve.jsonl
rpng,table_03,1,22.16782547458666,21.446874988677838,-0.7209504859088227,0,30661,results/ERCB_ablation/dense_supervision_densify/rpng/table_03/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/rpng/table_03/event60/kf_dense_s0/evaluation_curve.jsonl
rpng,table_04,1,21.133174195119988,20.190081474495187,-0.9430927206248008,0,24781,results/ERCB_ablation/dense_supervision_densify/rpng/table_04/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/rpng/table_04/event60/kf_dense_s0/evaluation_curve.jsonl
rpng,table_05,1,25.860381784451455,23.780764675016687,-2.0796171094347677,0,19621,results/ERCB_ablation/dense_supervision_densify/rpng/table_05/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/rpng/table_05/event60/kf_dense_s0/evaluation_curve.jsonl
rpng,table_06,1,26.00619937367522,25.26479100354145,-0.7414083701337688,0,13561,results/ERCB_ablation/dense_supervision_densify/rpng/table_06/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/rpng/table_06/event60/kf_dense_s0/evaluation_curve.jsonl
rpng,table_07,1,26.045779894825607,26.54091683518528,0.4951369403596715,1,13021,results/ERCB_ablation/dense_supervision_densify/rpng/table_07/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/rpng/table_07/event60/kf_dense_s0/evaluation_curve.jsonl
rpng,table_08,1,20.42352360717313,20.866352353648796,0.4428287464756657,1,33901,results/ERCB_ablation/dense_supervision_densify/rpng/table_08/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/rpng/table_08/event60/kf_dense_s0/evaluation_curve.jsonl
utmm,ego-centric-1,1,21.687824800610542,22.238519946734108,0.5506951461235658,1,3301,results/ERCB_ablation/dense_supervision_densify/utmm/ego-centric-1/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/utmm/ego-centric-1/event60/kf_dense_s0/evaluation_curve.jsonl
utmm,ego-centric-2,1,20.414759009893686,22.13284119214017,1.7180821822464836,1,3841,results/ERCB_ablation/dense_supervision_densify/utmm/ego-centric-2/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/utmm/ego-centric-2/event60/kf_dense_s0/evaluation_curve.jsonl
utmm,ego-drive,1,18.732059871128627,19.473988494873048,0.7419286237444211,1,5161,results/ERCB_ablation/dense_supervision_densify/utmm/ego-drive/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/utmm/ego-drive/event60/kf_dense_s0/evaluation_curve.jsonl
utmm,fast-straight,1,20.807789711725142,21.158439727056592,0.3506500153314498,1,1021,results/ERCB_ablation/dense_supervision_densify/utmm/fast-straight/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/utmm/fast-straight/event60/kf_dense_s0/evaluation_curve.jsonl
utmm,slow-straight-2,1,19.58315268198649,20.06791966756185,0.4847669855753587,1,901,results/ERCB_ablation/dense_supervision_densify/utmm/slow-straight-2/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/utmm/slow-straight-2/event60/kf_dense_s0/evaluation_curve.jsonl
utmm,square-1,1,20.435633154198676,21.48431853492661,1.0486853807279353,1,4741,results/ERCB_ablation/dense_supervision_densify/utmm/square-1/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/utmm/square-1/event60/kf_dense_s0/evaluation_curve.jsonl
utmm,square-2,1,20.05842784806794,21.253112294315514,1.1946844462475745,1,4321,results/ERCB_ablation/dense_supervision_densify/utmm/square-2/event60/kf_only_s0/evaluation_curve.jsonl,results/ERCB_ablation/dense_supervision_densify/utmm/square-2/event60/kf_dense_s0/evaluation_curve.jsonl
rpng,MEAN,8,23.406257622247157,23.06406573277698,-0.34219188947017587,4,,context/experiments/ERCB_ablation/dense-supervision/evidence/manifest.json,
utmm,MEAN,7,20.245663868230157,21.115591408229697,0.8699275399995413,7,,context/experiments/ERCB_ablation/dense-supervision/evidence/manifest.json,
aria,MEAN,4,28.502824028016253,29.247837512889713,0.7450134848734606,4,,context/experiments/ERCB_ablation/dense-supervision/evidence/manifest.json,
all,MEAN,19,23.31478969303439,23.648053461651717,0.3332637686173276,15,,context/experiments/ERCB_ablation/dense-supervision/evidence/manifest.json,
